"527","Return of the Jedi","475.1","1983"
"257","Charlie and the Chocolate Factory","475","2005"
"502","Indiana Jones and the Last Crusade","474.2","1989"
"47","Wreck-It Ralph","471.2","2012"
"537","Jaws","470.7","1975"
"151","The Hangover","467.5","2009"
"11","Star Trek Into Darkness","467.4","2013"
"379","The Matrix","463.5","1999"
"493","Pretty Woman","463.4","1990"
"236","Cars","462","2006"
"237","X-Men: The Last Stand","459.4","2006"
"432","Mission: Impossible","457.7","1996"
"356","Gladiator","457.6","2000"
"213","National Treasure: Book of Secrets","457.4","2007"
"298","The Last Samurai","456.8","2003"
"214","300","456.1","2007"
"339","Ocean\"s Eleven","450.7","2001"
"86","Thor","449.3","2011"
"340","Pearl Harbor","449.2","2001"
"380","Tarzan","448.2","1999"
"152","Alvin and the Chipmunks: The Squeakquel","443.1","2009"
"215","The Bourne Ultimatum","442.8","2007"
"48","Les Miserables (2012)","441.8","2012"
"318","Men in Black II","441.8","2002"
"538","The Exorcist","441.3","1973"
"468","Mrs. Doubtfire","441.3","1993"
"299","Terminator 3: Rise of the Machines","433.4","2003"
"341","The Mummy Returns","433","2001"
"319","Die Another Day","432","2002"
"357","Cast Away","429.6","2000"
"300","The Matrix Revolutions","427.3","2003"
"49","The Intouchables (U.S.-only)","426.6","2012"
"50","Django Unchained","425.4","2012"
"486","Beauty and the Beast","425","1991"
"494","Dances with Wolves","424.2","1990"
"183","The Chronicles of Narnia: Prince Caspian","419.7","2008"
"381","The Mummy","415.9","1999"
"115","The Chronicles of Narnia: The Voyage of the Dawn Treader","415.7","2010"
"184","Sex and the City","415.3","2008"
"12","The Wolverine","414.8","2013"
"116","The King\"s Speech","414.2","2010"
"153","Night at the Museum: Battle of the Smithsonian","413.1","2009"
"503","Batman","411.3","1989"
"477","The Bodyguard","411","1992"
"320","Signs","408.2","2002"
"301","X2: X-Men United","407.7","2003"
"13","Pacific Rim","407.6","2013"
"51","Prometheus","403.4","2012"
"185","The Mummy: Tomb of the Dragon Emperor","401.1","2008"
"543","Gone with the Wind","400.2","1939"
"117","Tron Legacy","400.1","2010"
"238","Mission: Impossible III","397.9","2006"
"52","Snow White and the Huntsman","396.6","2012"
"532","Grease","395","1978"
"186","Twilight","392.6","2008"
"239","Superman Returns","391.1","2006"
"487","Robin Hood: Prince of Thieves","390.5","1991"
"529","Raiders of the Lost Ark","389.9","1981"
"154","Star Trek","385.7","2009"
"240","Happy Feet","384.3","2006"
"216","Live Free or Die Hard","383.5","2007"
"321","Ice Age","383.3","2002"
"155","Monsters Vs. Aliens","381.5","2009"
"521","Back to the Future","381.1","1985"
"398","Godzilla","379","1998"
"457","True Lies","378.9","1994"
"187","Slumdog Millionaire","377.9","2008"
"53","Taken 2","376.1","2012"
"14","G.I. Joe: Retaliation","375.7","2013"
"258","Batman Begins","374.2","2005"
"358","What Women Want","374.1","2000"
"87","The Adventures of Tintin","374","2011"
"156","X-Men Origins: Wolverine","373.1","2009"
"217","The Golden Compass","372.2","2007"
"157","Terminator Salvation","371.4","2009"
"88","Captain America: The First Avenger","370.6","2011"
"399","There\"s Something About Mary","369.9","1998"
"469","The Fugitive","368.9","1993"
"342","Jurassic Park III","368.8","2001"
"322","My Big Fat Greek Wedding","368.7","2002"
"259","Hitch","368.1","2005"
"277","Shark Tale","367.3","2004"
"442","Die Hard: With A Vengeance","366.1","1995"
"382","Notting Hill","363.9","1999"
"400","A Bug\"s Life","363.4","1998"
"158","Fast and Furious","363.2","2009"
"278","Ocean\"s Twelve","362.7","2004"
"343","Planet of the Apes (2001)","362.2","2001"
"443","Toy Story","362","1995"
"383","The World Is Not Enough","361.8","1999"
"218","Alvin and the Chipmunks","361.3","2007"
"118","The Karate Kid","359.1","2010"
"478","Home Alone 2: Lost in New York","359","1992"
"323","Minority Report","358.4","2002"
"54","Hotel Transylvania","357.3","2012"
"519","Top Gun","356.8","1986"
"384","American Beauty","356.3","1999"
"444","Apollo 13","355.2","1995"
"511","Rain Man","354.8","1988"
"89","X-Men: First Class","353.6","2011"
"479","Basic Instinct","352.9","1992"
"445","GoldenEye","352.2","1995"
"324","Catch Me If You Can","352.1","2002"
"15","Now You See Me","351.7","2013"
"344","Hannibal","351.7","2001"
"458","The Mask","351.6","1994"
"16","The Hangover Part III","351","2013"
"459","Speed","350.4","1994"
"359","Dinosaur","349.8","2000"
"401","Deep Impact","349.5","1998"
"55","Dr. Seuss\" The Lorax","348.8","2012"
"17","The Great Gatsby (2013)","348.8","2013"
"279","National Treasure","347.5","2004"
"345","Rush Hour 2","347.3","2001"
"280","I, Robot","347.2","2004"
"18","The Smurfs 2","346.6","2013"
"446","Pocahontas","346.1","1995"
"360","How the Grinch Stole Christmas","345.1","2000"
"90","Alvin and the Chipmunks: Chipwrecked","342.7","2011"
"460","The Flintstones","341.6","1994"
"188","Wanted","341.4","2008"
"219","Enchanted","340.5","2007"
"447","Batman Forever","336.5","1995"
"119","Prince of Persia: The Sands of Time","336.4","2010"
"241","Over the Hedge","336","2006"
"56","Journey 2: The Mysterious Island","335.3","2012"
"433","The Rock","335.1","1996"
"189","The Curious Case of Benjamin Button","333.9","2008"
"524","Indiana Jones and the Temple of Doom","333.1","1984"
"417","Tomorrow Never Dies","333","1997"
"504","Back to the Future Part II","332","1989"
"260","Fantastic Four","330.6","2005"
"361","Meet the Parents","330.4","2000"
"512","Who Framed Roger Rabbit","329.8","1988"
"120","Black Swan","329.4","2010"
"362","The Perfect Storm","328.7","2000"
"520","Crocodile Dundee","328.2","1986"
"448","Seven","327.3","1995"
"242","The Devil Wears Prada","326.6","2006"
"434","The Hunchback of Notre Dame","325.3","1996"
"159","A Christmas Carol (2009)","325.3","2009"
"121","Megamind","321.9","2010"
"480","Lethal Weapon 3","321.7","1992"
"122","Robin Hood","321.7","2010"
"160","Inglourious Basterds","321.5","2009"
"470","Schindler\"s List","321.3","1993"
"435","101 Dalmatians (1996)","320.7","1996"
"516","Fatal Attraction","320.1","1987"
"123","The Last Airbender","319.7","2010"
"161","The Proposal","317.4","2009"
"19","The Conjuring","316.7","2013"
"525","Beverly Hills Cop","316.4","1984"
"418","Air Force One","315.2","1997"
"261","Chicken Little","314.4","2005"
"419","As Good as It Gets","314.2","1997"
"346","A Beautiful Mind","313.5","2001"
"385","Austin Powers: The Spy Who Shagged Me","312","1999"
"220","Ocean\"s Thirteen","311.3","2007"
"124","Little Fockers","310.7","2010"
"190","Bolt","310","2008"
"386","Runaway Bride","309.5","1999"
"436","Ransom","309.5","1996"
"162","The Blind Side","309.2","2009"
"281","The Polar Express","307.5","2004"
"243","The Pursuit of Happyness","307.1","2006"
"57","Rise of the Guardians","306.9","2012"
"325","Chicago","306.8","2002"
"58","Wrath of the Titans","305.3","2012"
"20","A Good Day to Die Hard","304.7","2013"
"402","Mulan","304.3","1998"
"535","Close Encounters of the Third Kind","303.8","1977"
"59","Battleship","303","2012"
"420","Liar Liar","302.7","1997"
"163","G.I. Joe: The Rise of Cobra","302.5","2009"
"488","Hook","300.9","1991"
"522","Rocky IV","300.5","1985"
"523","Rambo: First Blood Part II","300.4","1985"
"60","The Expendables 2","300.4","2012"
"282","Van Helsing","300.3","2004"
"533","Superman","300.2","1978"
"387","Stuart Little","300.1","1999"
"517","Beverly Hills Cop II","300","1987"
"421","My Best Friend\"s Wedding","299.3","1997"
"91","Real Steel","299.3","2011"
"191","Dr. Seuss\" Horton Hears a Who!","297.1","2008"
"505","Look Who\"s Talking","297","1989"
"326","Austin Powers in Goldmember","296.7","2002"
"363","X-Men","296.3","2000"
"125","Resident Evil: Afterlife","296.2","2010"
"126","Shutter Island","294.8","2010"
"403","Doctor Dolittle","294.5","1998"
"127","Salt","293.5","2010"
"164","G-Force","292.8","2009"
"526","Ghostbusters","291.6","1984"
"364","What Lies Beneath","291.4","2000"
"244","The Departed","289.8","2006"
"404","Shakespeare in Love","289.3","1998"
"221","Fantastic Four: Rise of the Silver Surfer","289","2007"
"513","Coming to America","288.8","1988"
"283","The Bourne Supremacy","288.5","2004"
"92","Bridesmaids","288.4","2011"
"128","Sex and the City 2","288.3","2010"
"449","Casper","287.9","1995"
"347","American Pie 2","287.6","2001"
"222","Bee Movie","287.6","2007"
"388","The Green Mile","286.8","1999"
"21","Oblivion","286.2","2013"
"405","Lethal Weapon 4","285.4","1998"
"262","Wedding Crashers","285.2","2005"
"22","Elysium","285","2013"
"61","John Carter","284.1","2012"
"348","Bridget Jones\"s Diary","281.9","2001"
"129","The Tourist","278.3","2010"
"365","Scary Movie","278","2000"
"23","Turbo","277.6","2013"
"327","XXX","277.4","2002"
"62","The Bourne Legacy","276.1","2012"
"328","Scooby-Doo","275.7","2002"
"63","Lincoln","275.3","2012"
"329","Spirited Away","274.9","2002"
"349","Lara Croft: Tomb Raider","274.7","2001"
"130","The Expendables","274.5","2010"
"437","The Nutty Professor (1996)","274","1996"
"438","Jerry Maguire","273.6","1996"
"302","Bad Boys II","273.3","2003"
"330","Lilo &amp; Stitch","273.1","2002"
"489","The Silence of the Lambs","272.7","1991"
"131","Grown Ups","271.4","2010"
"471","The Firm","270.2","1993"
"192","Gran Torino","270","2008"
"193","10,000 B.C.","269.8","2008"
"542","Bambi","267.4","1942"
"165","The Princess and the Frog","267","2009"
"481","Batman Returns","266.8","1992"
"303","Something\"s Gotta Give","266.7","2003"
"472","Indecent Proposal","266.6","1993"
"223","American Gangster","266.5","2007"
"24","We\"re the Millers","266.4","2013"
"450","Waterworld","264.2","1995"
"366","Charlie\"s Angels","264.1","2000"
"406","The Truman Show","264.1","1998"
"422","The Fifth Element","263.9","1997"
"194","The Incredible Hulk","263.4","2008"
"451","Jumanji","262.8","1995"
"284","Bridget Jones: The Edge of Reason","262.5","2004"
"132","Knight &amp; Day","261.9","2010"
"245","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","261.6","2006"
"495","Total Recall","261.3","1990"
"166","Michael Jackson\"s This Is It","261.2","2009"
"25","Epic","260.8","2013"
"263","Robots","260.7","2005"
"26","The Lone Ranger","260.5","2013"
"93","Super 8","260.1","2011"
"304","Charlie\"s Angels: Full Throttle","259.2","2003"
"224","Rush Hour 3","258","2007"
"423","The Full Monty","257.9","1997"
"285","The Village","256.7","2004"
"367","Erin Brockovich","256.3","2000"
"473","Cliffhanger","255","1993"
"452","Babe","254.1","1995"
"225","Wild Hogs","253.6","2007"
"195","High School Musical 3: Senior Year","252.9","2008"
"424","Hercules","252.7","1997"
"133","True Grit","252.3","2010"
"425","Bean","251.2","1997"
"407","You\"ve Got Mail","250.8","1998"
"408","Enemy of the State","250.6","1998"
"305","Brother Bear","250.4","2003"
"409","The Mask of Zorro","250.3","1998"
"246","Eragon","249.5","2006"
"331","The Ring","249.3","2002"
"389","The Blair Witch Project","248.6","1999"
"368","Unbreakable","248.1","2000"
"461","Dumb and Dumber","247.3","1994"
"306","Love Actually","246.9","2003"
"27","Grown Ups 2","246.4","2013"
"462","Four Weddings and a Funeral","245.7","1994"
"94","Rango","245.7","2011"
"426","Face/Off","245.7","1997"
"64","Dark Shadows","245.5","2012"
"307","Hulk","245.4","2003"
"539","The Godfather","245.1","1972"
"496","Back to the Future Part III","244.5","1990"
"410","Rush Hour","244.4","1998"
"28","After Earth","243.8","2013"
"482","A Few Good Men","243.2","1992"
"167","Cloudy with a Chance of Meatballs","243","2009"
"332","8 Mile","242.9","2002"
"196","Marley and Me","242.7","2008"
"439","Eraser","242.3","1996"
"197","Journey to the Center of the Earth","242","2008"
"65","Resident Evil: Retribution","240.2","2012"
"497","Die Hard 2: Die Harder","240","1990"
"514","Crocodile Dundee II","239.6","1988"
"427","Batman and Robin","238.2","1997"
"247","Click","237.7","2006"
"134","Gulliver\"s Travels","237.4","2010"
"369","Gone in 60 Seconds","237.2","2000"
"536","Saturday Night Fever","237.1","1977"
"66","Silver Linings Playbook","236.4","2012"
"308","2 Fast 2 Furious","236.4","2003"
"506","Dead Poets Society","235.9","1989"
"350","A.I. Artificial Intelligence","235.9","2001"
"390","American Pie","235.5","1999"
"264","Howl\"s Moving Castle","235.2","2005"
"67","American Reunion","235","2012"
"391","Big Daddy","234.8","1999"
"198","The Day the Earth Stood Still (2008)","233.1","2008"
"95","The Girl with the Dragon Tattoo (2011)","232.6","2011"
"68","Argo","232.3","2012"
"440","The English Patient","232","1996"
"483","Sister Act","231.6","1992"
"226","Juno","231.4","2007"
"309","American Wedding","231.4","2003"
"265","Constantine","230.9","2005"
"441","Space Jam","230.4","1996"
"227","Mr. Bean\"s Holiday","229.7","2007"
"29","The Heat","229.7","2013"
"411","Life Is Beautiful","229.2","1998"
"228","Ghost Rider","228.7","2007"
"507","Lethal Weapon 2","227.9","1989"
"474","Sleepless in Seattle","227.8","1993"
"96","The Green Hornet","227.8","2011"
"97","Immortals","226.9","2011"
"168","Taken","226.8","2009"
"135","Percy Jackson &amp; The Olympians: The Lightning Thief","226.5","2010"
"428","Good Will Hunting","225.9","1997"
"30","Hansel and Gretel: Witch Hunters","225.7","2013"
"136","The Social Network","224.9","2010"
"370","Chicken Run","224.8","2000"
"429","Con Air","224","1997"
"463","Interview with the Vampire","223.7","1994"
"266","Flightplan","223.4","2005"
"199","Yes Man","223.2","2008"
"508","Honey, I Shrunk the Kids","222.7","1989"
"286","Fahrenheit 9/11","222.4","2004"
"200","Jumper","222.2","2008"
"392","Wild Wild West","222.1","1999"
"498","Presumed Innocent","221.3","1990"
"310","Scary Movie 3","220.7","2003"
"311","Elf","220.4","2003"
"98","Green Lantern","219.9","2011"
"31","Planes","219.4","2013"
"287","The Terminal","219.4","2004"
"201","What Happens in Vegas","219.4","2008"
"169","It\"s Complicated","219.1","2009"
"229","Knocked Up","219.1","2007"
"412","The Prince of Egypt","218.6","1998"
"69","Jack Reacher","218.3","2012"
"288","Collateral","217.8","2004"
"289","Million Dollar Baby","216.8","2004"
"99","The Help","216.6","2011"
"515","Twins","216.6","1988"
"137","Valentine\"s Day","216.5","2010"
"464","Clear and Present Danger","215.9","1994"
"484","Bram Stoker\"s Dracula","215.9","1992"
