"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"38","38","Palm","0.0%","$1.9","2","2","2002"
"39","39","New Yorker","0.0%","$1.7","12","5","2002"
"40","40","Christal Films","0.0%","$1.5","3","3","2002"
"41","41","Cinebella","0.0%","$1.5","2","2","2002"
"42","42","Halestorm","0.0%","$1.3","1","1","2002"
"43","43","First Run","0.0%","$1.1","11","10","2002"
"44","44","Yash Raj","0.0%","$1.0","2","1","2002"
"45","45","Regent Releasing","0.0%","$993k","1","0","2002"
"46","46","Media Partners","0.0%","$983k","2","2","2002"
"47","47","Avatar","0.0%","$942k","2","1","2002"
"48","48","Mongrel Media","0.0%","$925k","1","1","2002"
"49","49","Empire","0.0%","$883k","12","12","2002"
"50","50","Rainforest","0.0%","$881k","1","1","2002"
"51","51","First Look","0.0%","$811k","6","4","2002"
"52","52","Roxie","0.0%","$789k","3","3","2002"
"53","53","Five &amp; Two Pictures","0.0%","$764k","1","1","2002"
"54","54","Zeitgeist","0.0%","$747k","5","4","2002"
"55","55","Outrider","0.0%","$695k","8","8","2002"
"56","56","Rialto","0.0%","$615k","6","6","2002"
"57","57","Myriad Entertainment Group","0.0%","$583k","1","0","2002"
"58","58","Strand","0.0%","$580k","7","7","2002"
"59","59","Indican","0.0%","$571k","3","2","2002"
"60","60","Musicwave","0.0%","$393k","1","1","2002"
"61","61","Panorama","0.0%","$343k","1","0","2002"
"62","62","Silver Nitrate","0.0%","$284k","2","2","2002"
"63","63","Maelstrom","0.0%","$279k","1","0","2002"
"64","64","David Keith","0.0%","$249k","1","1","2002"
"65","65","Magic Lamp","0.0%","$247k","2","2","2002"
"66","66","Small Planet","0.0%","$238k","1","1","2002"
"67","67","Jour de Fete","0.0%","$235k","1","1","2002"
"68","68","Oceanside","0.0%","$234k","1","1","2002"
"69","69","Rainbow Releasing","0.0%","$228k","1","0","2002"
"70","70","Arrow Releasing","0.0%","$208k","1","0","2002"
"71","71","Equinox","0.0%","$171k","1","1","2002"
"72","72","Innovation Film Group","0.0%","$168k","2","2","2002"
"73","73","Peninsula","0.0%","$144k","1","1","2002"
"74","74","Milestone","0.0%","$141k","1","1","2002"
"75","75","MAC Releasing","0.0%","$133k","1","1","2002"
"76","76","Streetlight","0.0%","$129k","1","1","2002"
"77","77","Artistic License","0.0%","$129k","6","6","2002"
"78","78","Jenkins","0.0%","$112k","1","1","2002"
"79","79","Leisure Time","0.0%","$102k","2","1","2002"
"80","80","Castle Hill","0.0%","$98.1k","3","3","2002"
"81","81","Video Sound","0.0%","$95.4k","1","1","2002"
"82","82","Bandai","0.0%","$94.1k","1","1","2002"
"83","83","Venevision","0.0%","$92.1k","2","2","2002"
"84","84","DEJ","0.0%","$79.2k","1","1","2002"
"85","85","Vitagraph","0.0%","$77.9k","1","1","2002"
"86","86","Hanson Brothers","0.0%","$75.2k","1","1","2002"
"87","87","Ruff Nation","0.0%","$70.6k","1","1","2002"
"88","88","Ent. Highway","0.0%","$65.2k","1","1","2002"
"89","89","Cinema Guild","0.0%","$65.2k","1","1","2002"
"90","90","Five Sisters","0.0%","$64.4k","1","1","2002"
"91","91","MPE","0.0%","$60.9k","1","1","2002"
"92","92","Picture This!","0.0%","$57.7k","1","1","2002"
"93","93","National Amusements","0.0%","$55.0k","1","1","2002"
"94","94","Access","0.0%","$44.1k","1","0","2002"
"95","95","Pathfinder","0.0%","$37.7k","6","6","2002"
"96","96","7th Art","0.0%","$36.1k","5","5","2002"
"97","97","Gold Circle","0.0%","$23.8k","1","1","2002"
"98","98","Odyssey","0.0%","$23.8k","1","1","2002"
"99","99","Media Blasters","0.0%","$18.1k","1","1","2002"
"100","100","Seventh Art","0.0%","$17.8k","4","4","2002"
"101","101","Keystone","0.0%","$17.6k","1","1","2002"
"102","102","TLA Releasing","0.0%","$17.5k","1","1","2002"
"103","103","Gabriel Film Group","0.0%","$15.9k","1","1","2002"
"104","104","Open Edge","0.0%","$11.6k","1","1","2002"
"105","105","Exile","0.0%","$10.1k","1","1","2002"
"106","106","Flatland","0.0%","$8.4k","1","1","2002"
"107","107","Artmattan Prods.","0.0%","$7.4k","2","2","2002"
"108","108","Northern Arts","0.0%","$6.2k","1","1","2002"
"109","109","Tartan","0.0%","$6.1k","1","1","2002"
"110","110","OFI","0.0%","$5.0k","1","1","2002"
"111","111","Wanderman","0.0%","$3.2k","1","1","2002"
"112","112","Cheapo Films","0.0%","$2.5k","1","1","2002"
"113","113","Wine Women &amp; Song","0.0%","$2.2k","1","1","2002"
"114","114","Dylan","0.0%","$2.2k","1","1","2002"
"115","115","Friedman-Nadler","0.0%","$2.1k","1","1","2002"
"116","116","Boll Films","0.0%","$1.5k","1","1","2002"
