"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"1","1","Sony / Columbia","17.2%","$1,571.6","35","31","2002"
"2","2","Buena Vista","13.0%","$1,187.7","28","22","2002"
"3","3","Warner Bros.","11.7%","$1,072.6","35","28","2002"
"4","4","20th Century Fox","10.1%","$924.7","22","14","2002"
"5","5","Universal","9.5%","$873.8","20","15","2002"
"6","6","New Line","9.5%","$871.5","13","10","2002"
"7","7","Paramount","7.4%","$673.8","25","19","2002"
"8","8","DreamWorks SKG","5.2%","$479.3","7","7","2002"
"9","9","MGM/UA","4.0%","$363.1","23","19","2002"
"10","10","Miramax","2.7%","$245.5","32","24","2002"
"11","11","IFC","2.6%","$238.4","6","5","2002"
"12","12","Fox Searchlight","1.4%","$132.7","8","7","2002"
"13","13","Dimension Films","1.4%","$132.3","6","6","2002"
"14","14","Lionsgate","0.8%","$73.3","17","13","2002"
"15","15","USA Films","0.6%","$55.4","3","1","2002"
"16","16","Artisan","0.6%","$54.8","7","6","2002"
"17","17","IMAX","0.5%","$42.0","9","0","2002"
"18","18","Focus Features","0.3%","$25.5","7","7","2002"
"19","19","Sony Classics","0.3%","$24.1","27","19","2002"
"20","20","Heliograph","0.1%","$13.4","1","0","2002"
"21","21","IDP","0.1%","$7.6","9","8","2002"
"22","22","WGB.","0.1%","$7.4","1","0","2002"
"23","23","Paramount Classics","0.1%","$7.1","10","9","2002"
"24","24","Alliance","0.1%","$6.1","2","2","2002"
"25","25","Newmarket","0.1%","$5.2","1","1","2002"
"26","26","Excel","0.1%","$4.8","2","1","2002"
"27","27","Manhattan","0.0%","$4.5","2","2","2002"
"28","28","Lot 47","0.0%","$4.4","4","3","2002"
"29","29","N Wave","0.0%","$3.9","3","0","2002"
"30","30","ThinkFilm","0.0%","$3.8","6","6","2002"
"31","31","Cowboy","0.0%","$3.2","16","14","2002"
"32","32","Magnolia","0.0%","$3.2","4","4","2002"
"33","33","Eros","0.0%","$2.9","2","2","2002"
"34","34","Wellspring","0.0%","$2.1","10","8","2002"
"35","35","Menemsha","0.0%","$2.1","4","1","2002"
"36","36","Kino","0.0%","$2.0","8","8","2002"
"37","37","Fine Line","0.0%","$1.9","4","4","2002"
