"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"1","1","Warner Bros.","15.1%","$1,224.8","34","27","2001"
"2","2","Universal","11.7%","$951.5","19","13","2001"
"3","3","Paramount","11.0%","$891.5","17","14","2001"
"4","4","Buena Vista","10.9%","$887.8","20","14","2001"
"5","5","20th Century Fox","10.6%","$862.9","20","16","2001"
"6","6","Sony / Columbia","9.0%","$729.3","30","25","2001"
"7","7","Miramax","7.5%","$611.7","34","25","2001"
"8","8","New Line","6.7%","$546.4","12","9","2001"
"9","9","MGM/UA","5.5%","$448.3","12","11","2001"
"10","10","DreamWorks SKG","4.9%","$400.8","11","5","2001"
"11","11","USA Films","1.7%","$141.0","12","11","2001"
"12","12","Sony Classics","1.7%","$138.4","15","11","2001"
"13","13","Lionsgate","0.7%","$55.6","21","17","2001"
"14","14","Fox Searchlight","0.6%","$45.4","5","4","2001"
"15","15","Newmarket","0.3%","$26.1","2","2","2001"
"16","16","Paramount Classics","0.3%","$22.7","10","7","2001"
"17","17","IMAX","0.3%","$22.3","10","3","2001"
"18","18","Fine Line","0.2%","$16.7","5","3","2001"
"19","19","Artisan","0.2%","$13.6","6","5","2001"
"20","20","8X Entertainment","0.1%","$7.8","2","2","2001"
"21","21","Focus Features","0.1%","$6.5","6","5","2001"
"22","22","WGB.","0.1%","$6.4","1","1","2001"
"23","23","First Look","0.1%","$6.1","3","4","2001"
"24","24","N Wave","0.1%","$5.3","2","1","2001"
"25","25","Samuel Goldwyn","0.1%","$4.5","1","1","2001"
"26","26","IDP","0.1%","$4.3","5","5","2001"
"27","27","Cloud Ten","0.1%","$4.2","1","1","2001"
"28","28","Winstar","0.0%","$3.2","5","3","2001"
"29","29","IFC","0.0%","$3.0","8","8","2001"
"30","30","Kino","0.0%","$2.5","1","1","2001"
"31","31","Power Point","0.0%","$2.3","1","1","2001"
"32","32","Purple","0.0%","$2.3","1","1","2001"
"33","33","Yash Raj","0.0%","$2.1","1","1","2001"
"34","34","Lot 47","0.0%","$2.1","5","4","2001"
"35","35","Cowboy","0.0%","$2.0","4","3","2001"
"36","36","Eros","0.0%","$1.6","7","5","2001"
"37","37","Rainbow Releasing","0.0%","$1.5","1","1","2001"
"38","38","Excel","0.0%","$1.3","2","2","2001"
"39","39","Seville","0.0%","$1.2","1","1","2001"
"40","40","Providence","0.0%","$1.1","2","2","2001"
"41","41","Tips","0.0%","$1.0","1","1","2001"
"42","42","Castle Hill","0.0%","$877k","2","1","2001"
"43","43","Cho","0.0%","$847k","1","0","2001"
"44","44","Set Pictures","0.0%","$836k","1","1","2001"
"45","45","Alliance","0.0%","$763k","2","1","2001"
"46","46","Roxie","0.0%","$737k","1","0","2001"
"47","47","Avatar","0.0%","$679k","3","3","2001"
"48","48","Zeitgeist","0.0%","$668k","5","5","2001"
"49","49","Access","0.0%","$590k","1","1","2001"
"50","50","Jour de Fete","0.0%","$512k","1","1","2001"
"51","51","Empire","0.0%","$424k","2","1","2001"
"52","52","Wellspring","0.0%","$369k","2","4","2001"
"53","53","TSG","0.0%","$361k","4","3","2001"
"54","54","Picture This!","0.0%","$343k","2","2","2001"
"55","55","Strand","0.0%","$334k","3","2","2001"
"56","56","Shadow Dist.","0.0%","$316k","1","1","2001"
"57","57","New Yorker","0.0%","$307k","3","6","2001"
"58","58","First Run","0.0%","$227k","2","3","2001"
"59","59","Iron","0.0%","$215k","1","0","2001"
"60","60","Panorama","0.0%","$196k","2","3","2001"
"61","61","Filmways","0.0%","$190k","1","1","2001"
"62","62","Urbanworld","0.0%","$188k","2","2","2001"
"63","63","Equinox","0.0%","$184k","1","1","2001"
"64","64","Urban Vision","0.0%","$151k","1","1","2001"
"65","65","Maelstrom","0.0%","$142k","1","1","2001"
"66","66","Vitagraph","0.0%","$134k","2","2","2001"
"67","67","Artistic License","0.0%","$123k","3","3","2001"
"68","68","Pioneer","0.0%","$114k","1","1","2001"
"69","69","Tidepoint Pictures","0.0%","$94.6k","1","1","2001"
"70","70","Heartland Film","0.0%","$81.8k","1","1","2001"
"71","71","2Silk","0.0%","$71.5k","1","1","2001"
"72","72","Keystone","0.0%","$69.3k","2","2","2001"
"73","73","Shooting Gallery","0.0%","$49.4k","1","1","2001"
"74","74","Chris.","0.0%","$43.6k","1","1","2001"
"75","75","Andora Pictures","0.0%","$41.2k","2","2","2001"
"76","76","Arrow Releasing","0.0%","$30.6k","1","1","2001"
"77","77","Rialto","0.0%","$28.7k","1","1","2001"
"78","78","Blue Steel","0.0%","$28.1k","1","1","2001"
"79","79","Menemsha","0.0%","$27.9k","2","4","2001"
"80","80","ADV Films","0.0%","$25.8k","1","1","2001"
"81","81","Hamzeh Mystique","0.0%","$25.0k","1","1","2001"
"82","82","Gabriel Film Group","0.0%","$19.8k","1","1","2001"
"83","83","Cinema Village","0.0%","$19.8k","2","2","2001"
"84","84","Regent Releasing","0.0%","$17.2k","1","2","2001"
"85","85","Indican","0.0%","$14.0k","1","1","2001"
"86","86","Cinemax","0.0%","$12.8k","1","1","2001"
"87","87","Attitude Films","0.0%","$10.7k","1","1","2001"
"88","88","Social Media Productions","0.0%","$6.1k","1","1","2001"
"89","89","Ibex","0.0%","$0.6k","1","1","2001"
