"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"36","36","Screen Media","0.0%","$1.9","4","3","2010"
"37","37","Zeitgeist","0.0%","$1.5","7","5","2010"
"38","38","Kino","0.0%","$1.5","7","7","2010"
"39","39","Bluff City Films","0.0%","$1.4","1","1","2010"
"40","40","First Run","0.0%","$1.1","18","15","2010"
"41","41","IndustryWorks","0.0%","$1.0","1","1","2010"
"42","42","Shorts International","0.0%","$1.0","1","1","2010"
"43","43","Newmarket","0.0%","$961k","2","2","2010"
"44","44","Five &amp; Two Pictures","0.0%","$954k","2","1","2010"
"45","45","Lorber Films","0.0%","$850k","12","10","2010"
"46","46","GKIDS","0.0%","$686k","2","2","2010"
"47","47","Indican","0.0%","$675k","13","11","2010"
"48","48","Strand","0.0%","$539k","18","14","2010"
"49","49","Rocky Mountain Pictures","0.0%","$532k","1","1","2010"
"50","50","CJ Entertainment","0.0%","$528k","1","1","2010"
"51","51","8X Entertainment","0.0%","$515k","1","1","2010"
"52","52","CanZion Films","0.0%","$492k","1","1","2010"
"53","53","Rialto","0.0%","$488k","2","2","2010"
"54","54","Cinema Guild","0.0%","$478k","8","5","2010"
"55","55","3D Entertainment","0.0%","$469k","1","1","2010"
"56","56","Variance Films","0.0%","$426k","8","6","2010"
"57","57","Vitagraph","0.0%","$403k","3","3","2010"
"58","58","First Look","0.0%","$386k","3","2","2010"
"59","59","Abramorama","0.0%","$367k","3","3","2010"
"60","60","China Lion","0.0%","$365k","2","2","2010"
"61","61","Arthouse Films","0.0%","$358k","2","2","2010"
"62","62","Blue Collar Releasing","0.0%","$353k","1","1","2010"
"63","63","Unknown","0.0%","$320k","5","2","2010"
"64","64","First Independent Pictures","0.0%","$307k","2","1","2010"
"65","65","Paladin","0.0%","$276k","5","5","2010"
"66","66","Hannover House","0.0%","$249k","2","2","2010"
"67","67","Drafthouse","0.0%","$234k","1","1","2010"
"68","68","Parallel Media","0.0%","$224k","1","1","2010"
"69","69","Cinema Libre","0.0%","$218k","3","2","2010"
"70","70","International Film Circuit","0.0%","$217k","4","3","2010"
"71","71","7-57 Releasing","0.0%","$211k","1","1","2010"
"72","72","Zipporah Films","0.0%","$204k","2","1","2010"
"73","73","Flashlight","0.0%","$189k","1","1","2010"
"74","74","ATO Pictures","0.0%","$179k","1","1","2010"
"75","75","JS Media &amp; Entertainment","0.0%","$177k","1","1","2010"
"76","76","Balcony Releasing","0.0%","$171k","3","3","2010"
"77","77","Monterey Media, Inc.","0.0%","$168k","4","2","2010"
"78","78","Janus Films","0.0%","$150k","1","1","2010"
"79","79","New Yorker","0.0%","$148k","1","1","2010"
"80","80","The Film Desk","0.0%","$142k","8","3","2010"
"81","81","New Films Cinema","0.0%","$139k","1","1","2010"
"82","82","E1 Entertainment","0.0%","$138k","1","1","2010"
"83","83","CFI Releasing","0.0%","$116k","1","1","2010"
"84","84","Argot Pictures","0.0%","$108k","3","3","2010"
"85","85","Cinema Purgatorio","0.0%","$108k","7","7","2010"
"86","86","Worldplay","0.0%","$107k","1","1","2010"
"87","87","Four of a Kind","0.0%","$107k","1","1","2010"
"88","88","IndieVest Pictures","0.0%","$103k","1","1","2010"
"89","89","Red Flag Releasing","0.0%","$100k","1","1","2010"
"90","90","Regent Releasing","0.0%","$98.0k","15","9","2010"
"91","91","Elephant Eye Films","0.0%","$90.4k","1","0","2010"
"92","92","Moving Pictures Institute","0.0%","$87.8k","1","1","2010"
"93","93","Mangusta Productions","0.0%","$80.6k","2","2","2010"
"94","94","Film Movement","0.0%","$73.8k","4","4","2010"
"95","95","Shadow Dist.","0.0%","$66.8k","5","2","2010"
"96","96","Sky Island Films","0.0%","$64.8k","1","0","2010"
"97","97","Truly Indie","0.0%","$62.1k","2","2","2010"
"98","98","The Film Collaborative","0.0%","$55.8k","1","1","2010"
"99","99","Wolfe Releasing","0.0%","$55.8k","1","1","2010"
"100","100","Walking Shadows","0.0%","$54.6k","1","1","2010"
"101","101","Eleven Arts","0.0%","$54.0k","1","1","2010"
"102","102","Nocturnal Features","0.0%","$53.3k","1","1","2010"
"103","103","Image Entertainment","0.0%","$52.8k","2","2","2010"
"104","104","Grassroots Films","0.0%","$52.3k","1","1","2010"
"105","105","Darius Films","0.0%","$44.5k","1","1","2010"
"106","106","Yash Raj","0.0%","$43.8k","1","1","2010"
"107","107","Milestone","0.0%","$41.8k","1","1","2010"
"108","108","","0.0%","$39.6k","4","0","2010"
"109","109","Phase 4","0.0%","$33.4k","3","3","2010"
"110","110","International WOW","0.0%","$30.8k","1","1","2010"
"111","111","Morning Star","0.0%","$30.2k","1","1","2010"
"112","112","MAC Releasing","0.0%","$29.7k","1","1","2010"
"113","113","New American Vision","0.0%","$26.3k","1","1","2010"
"114","114","Ripple Effect Inc.","0.0%","$25.1k","1","1","2010"
"115","115","Flicker Alley","0.0%","$24.3k","1","1","2010"
"116","116","Olive Films","0.0%","$23.6k","4","4","2010"
"117","117","Cabin Films","0.0%","$22.5k","1","1","2010"
"118","118","Mountain Top Releasing","0.0%","$19.8k","1","1","2010"
"119","119","People Pictures","0.0%","$19.1k","1","1","2010"
"120","120","Artigo/Ajemian","0.0%","$15.6k","1","1","2010"
"121","121","Delaware Pictures","0.0%","$15.5k","1","1","2010"
"122","122","The World According to Shorts","0.0%","$15.2k","1","1","2010"
"123","123","All Rise Films","0.0%","$14.5k","1","1","2010"
"124","124","MPI Media Group","0.0%","$13.5k","1","1","2010"
"125","125","Area23a","0.0%","$13.0k","1","1","2010"
"126","126","Dada Films","0.0%","$11.7k","1","1","2010"
"127","127","Embrem Entertainment","0.0%","$11.6k","1","1","2010"
"128","128","Peaches Christ","0.0%","$8.0k","1","1","2010"
"129","129","Real Bean","0.0%","$7.0k","1","1","2010"
"130","130","TLA Releasing","0.0%","$6.0k","1","1","2010"
"131","131","Winter Star","0.0%","$5.7k","1","1","2010"
"132","132","Rockstone Releasing","0.0%","$5.2k","1","1","2010"
"133","133","Saint Juste","0.0%","$4.6k","1","1","2010"
"134","134","North Poplar Pictures","0.0%","$3.8k","1","1","2010"
"135","135","Reel Diva Consultants","0.0%","$2.0k","1","1","2010"
"136","136","Clay Way Media","0.0%","$1.6k","1","1","2010"
"137","137","Driving With Our Eyes Shut","0.0%","$1.5k","1","1","2010"
"138","138","Seven Arts Distribution","0.0%","$0.9k","1","1","2010"
"139","139","Trillian","0.0%","$0.1k","1","1","2010"
