"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"1","1","Warner Bros.","18.2%","$1,923.9","36","27","2010"
"2","2","Paramount","16.2%","$1,713.8","18","14","2010"
"3","3","20th Century Fox","14.0%","$1,482.2","20","17","2010"
"4","4","Buena Vista","13.8%","$1,456.4","17","14","2010"
"5","5","Sony / Columbia","12.1%","$1,282.9","23","18","2010"
"6","6","Universal","8.3%","$882.0","18","15","2010"
"7","7","Summit Entertainment","5.0%","$523.2","11","8","2010"
"8","8","Lionsgate","4.9%","$516.1","16","14","2010"
"9","9","Fox Searchlight","1.4%","$152.6","10","8","2010"
"10","10","Overture Films","0.8%","$81.8","7","5","2010"
"11","11","Weinstein Company","0.8%","$80.6","10","7","2010"
"12","12","Focus Features","0.7%","$74.9","8","6","2010"
"13","13","CBS Films","0.7%","$72.4","3","3","2010"
"14","14","Sony Classics","0.6%","$62.9","26","20","2010"
"15","15","MGM/UA","0.5%","$50.3","1","1","2010"
"16","16","Miramax","0.3%","$28.0","2","2","2010"
"17","17","Music Box Films","0.2%","$24.4","11","8","2010"
"18","18","Paramount Vantage","0.2%","$20.4","3","3","2010"
"19","19","Apparition","0.1%","$13.4","4","2","2010"
"20","20","Anchor Bay Films","0.1%","$11.7","8","7","2010"
"21","21","Samuel Goldwyn","0.1%","$11.1","7","7","2010"
"22","22","Roadside Attractions","0.1%","$9.9","15","9","2010"
"23","23","IFC","0.1%","$9.7","37","36","2010"
"24","24","Magnolia","0.1%","$9.0","25","24","2010"
"25","25","Eros","0.1%","$6.1","8","8","2010"
"26","26","Reliance Big Pictures","0.1%","$6.1","5","4","2010"
"27","27","UTV Communications","0.1%","$5.9","8","8","2010"
"28","28","Relativity","0.1%","$5.6","1","1","2010"
"29","29","Imax","0.0%","$4.6","3","0","2010"
"30","30","Freestyle Releasing","0.0%","$4.1","11","8","2010"
"31","31","Producers Distribution Agency","0.0%","$3.3","1","1","2010"
"32","32","Rogue Pictures","0.0%","$3.2","1","1","2010"
"33","33","National Geographic Entertainment","0.0%","$3.0","5","2","2010"
"34","34","Vivendi Entertainment","0.0%","$2.8","1","1","2010"
"35","35","Oscilloscope Pictures","0.0%","$1.9","10","9","2010"
