"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"1","1","Buena Vista","15.5%","$1,175.6","30","21","2000"
"2","2","Universal","14.1%","$1,069.1","19","13","2000"
"3","3","Warner Bros.","11.9%","$905.3","28","22","2000"
"4","4","Paramount","10.4%","$791.1","19","12","2000"
"5","5","DreamWorks SKG","10.3%","$777.2","12","10","2000"
"6","6","20th Century Fox","9.5%","$723.3","17","13","2000"
"7","7","Sony / Columbia","9.0%","$681.5","34","29","2000"
"8","8","New Line","4.9%","$374.5","16","14","2000"
"9","9","Miramax","4.8%","$365.3","27","23","2000"
"10","10","Dimension Films","1.5%","$110.9","2","2","2000"
"11","11","MGM/UA","1.4%","$105.9","8","7","2000"
"12","12","USA Films","1.2%","$89.7","18","14","2000"
"13","13","Artisan","1.0%","$73.3","11","8","2000"
"14","14","IMAX","0.8%","$63.7","11","2","2000"
"15","15","Destination","0.7%","$55.3","5","5","2000"
"16","16","Sony Classics","0.6%","$47.2","19","13","2000"
"17","17","Lionsgate","0.4%","$33.1","20","18","2000"
"18","18","Fine Line","0.3%","$22.1","11","10","2000"
"19","19","Fox Searchlight","0.3%","$19.4","8","6","2000"
"20","20","Focus Features","0.2%","$17.1","2","2","2000"
"21","21","Paramount Classics","0.2%","$16.4","7","6","2000"
"22","22","MacGillivray Freeman Films","0.2%","$13.0","1","0","2000"
"23","23","TSG","0.1%","$6.7","2","2","2000"
"24","24","Trimark","0.1%","$5.4","3","3","2000"
"25","25","Eros","0.0%","$3.5","19","19","2000"
"26","26","N Wave","0.0%","$3.2","1","0","2000"
"27","27","Zion","0.0%","$2.6","1","1","2000"
"28","28","Cowboy","0.0%","$1.8","3","4","2000"
"29","29","Yash Raj","0.0%","$1.7","2","2","2000"
"30","30","First Look","0.0%","$1.3","3","2","2000"
"31","31","Equinox","0.0%","$1.2","1","1","2000"
"32","32","Rainforest","0.0%","$1.2","1","1","2000"
"33","33","Kino","0.0%","$1.1","4","4","2000"
"34","34","Empire","0.0%","$1.1","2","2","2000"
"35","35","Indican","0.0%","$1.1","4","4","2000"
"36","36","Iron","0.0%","$1.1","1","1","2000"
"37","37","Video Sound","0.0%","$962k","2","2","2000"
"38","38","Zeitgeist","0.0%","$927k","1","1","2000"
"39","39","Hombre","0.0%","$886k","1","1","2000"
"40","40","Odeon","0.0%","$823k","2","2","2000"
"41","41","Lot 47","0.0%","$705k","3","3","2000"
"42","42","New Yorker","0.0%","$691k","6","6","2000"
"43","43","Providence","0.0%","$620k","3","2","2000"
"44","44","New Latin","0.0%","$535k","2","2","2000"
"45","45","Winstar","0.0%","$521k","2","3","2000"
"46","46","Artistic License","0.0%","$488k","3","3","2000"
"47","47","Rialto","0.0%","$460k","1","1","2000"
"48","48","Strand","0.0%","$426k","5","5","2000"
"49","49","7th Art","0.0%","$421k","3","3","2000"
"50","50","Little Villa","0.0%","$392k","1","1","2000"
"51","51","Cinema Libre","0.0%","$377k","1","1","2000"
"52","52","First Run","0.0%","$370k","3","2","2000"
"53","53","North by Northwest","0.0%","$367k","1","0","2000"
"54","54","Cho","0.0%","$364k","1","1","2000"
"55","55","IDP","0.0%","$358k","2","2","2000"
"56","56","Wellspring","0.0%","$338k","1","1","2000"
"57","57","Unapix Ent.","0.0%","$318k","2","2","2000"
"58","58","Palm","0.0%","$310k","1","1","2000"
"59","59","Castle Hill","0.0%","$284k","2","2","2000"
"60","60","Stratosphere","0.0%","$278k","1","1","2000"
"61","61","Phaedra","0.0%","$242k","4","3","2000"
"62","62","Shooting Gallery","0.0%","$210k","4","4","2000"
"63","63","Vid.","0.0%","$204k","1","1","2000"
"64","64","Samuel Goldwyn","0.0%","$188k","1","0","2000"
"65","65","Picture Me Rollin","0.0%","$171k","1","1","2000"
"66","66","Independent Artists","0.0%","$170k","1","1","2000"
"67","67","Alliance","0.0%","$160k","1","1","2000"
"68","68","Manga","0.0%","$143k","1","1","2000"
"69","69","IFC","0.0%","$117k","1","1","2000"
"70","70","Seville","0.0%","$111k","1","1","2000"
"71","71","Palisades Ent.","0.0%","$75.2k","1","1","2000"
"72","72","Silver Nitrate","0.0%","$53.5k","2","2","2000"
"73","73","Roxie","0.0%","$42.3k","1","1","2000"
"74","74","CanWest Films","0.0%","$38.2k","1","1","2000"
"75","75","Regent Releasing","0.0%","$26.7k","2","2","2000"
"76","76","Arrow Releasing","0.0%","$18.2k","1","1","2000"
"77","77","Keystone","0.0%","$7.8k","1","1","2000"
"78","78","Film Acres","0.0%","$7.3k","1","1","2000"
"79","79","Redeemable","0.0%","$5.8k","1","1","2000"
"80","80","Unknown","0.0%","$4.3k","1","1","2000"
"81","81","Venice Film Merchants","0.0%","$3.9k","1","1","2000"
"82","82","Hollywood Classics","0.0%","$2.7k","1","1","2000"
"83","83","Monarch","0.0%","$1.6k","1","1","2000"
