"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","2013 Movies"
"1","1","Warner Bros.","17.4%","$1,628.1","25","16"
"2","2","Universal","14.7%","$1,372.3","17","14"
"3","3","Buena Vista","14.2%","$1,324.6","14","7"
"4","4","Sony / Columbia","11.4%","$1,067.6","19","14"
"5","5","20th Century Fox","10.6%","$989.9","17","12"
"6","6","Paramount","8.8%","$819.6","14","8"
"7","7","Lionsgate","6.6%","$621.7","24","19"
"8","8","Weinstein Company","5.0%","$468.2","18","13"
"9","9","Relativity","2.3%","$218.6","8","8"
"10","10","FilmDistrict","2.3%","$212.4","6","4"
"11","11","Open Road Films","1.3%","$123.2","6","5"
"12","12","Fox Searchlight","1.0%","$95.6","10","7"
"13","13","Focus Features","1.0%","$88.9","10","6"
"14","14","CBS Films","0.7%","$69.5","4","4"
"15","15","Sony Classics","0.7%","$68.8","19","14"
"16","16","Roadside Attractions","0.5%","$43.4","12","10"
"17","17","A24","0.3%","$27.9","5","5"
"18","18","Eros","0.1%","$11.7","15","14"
"19","19","UTV Communications","0.1%","$9.6","10","10"
"20","20","IFC","0.1%","$9.4","34","31"
"21","21","Radius-TWC","0.1%","$7.4","8","8"
"22","22","Magnolia","0.1%","$7.1","34","32"
"23","23","Samuel Goldwyn","0.1%","$6.6","7","5"
"24","24","High Top Releasing","0.0%","$3.8","5","5"
"25","25","Picturehouse","0.0%","$3.4","1","1"
"26","26","Millennium Ent.","0.0%","$3.3","8","8"
"27","27","Cohen Media Group","0.0%","$2.9","9","8"
"28","28","Imax","0.0%","$2.3","3","0"
"29","29","Reliance Big Pictures","0.0%","$2.3","3","2"
"30","30","National Geographic Entertainment","0.0%","$2.3","3","1"
"31","31","Shorts International","0.0%","$2.1","1","1"
"32","32","Music Box Films","0.0%","$1.7","9","7"
"33","33","Gathr Films","0.0%","$1.6","1","1"
"34","34","Cinedigm Entertainment","0.0%","$1.4","11","9"
"35","35","LD Entertainment","0.0%","$1.4","1","1"
"36","36","Entertainment One","0.0%","$1.4","8","7"
"37","37","Anchor Bay Films","0.0%","$1.3","14","14"
"38","38","Zeitgeist","0.0%","$1.3","7","6"
"39","39","Purdie Distribution","0.0%","$1.3","1","1"
"40","40","Arenas Entertainment","0.0%","$1.1","1","1"
"41","41","GKIDS","0.0%","$1.0","4","3"
"42","42","RCR Distribution","0.0%","$1.0","1","1"
"43","43","Exclusive Media","0.0%","$973k","2","2"
"44","44","First Run","0.0%","$961k","21","19"
"45","45","Freestyle Releasing","0.0%","$953k","8","8"
"46","46","Adopt Films","0.0%","$939k","3","1"
"47","47","Kino Lorber","0.0%","$855k","30","16"
"48","48","International Film Circuit","0.0%","$835k","6","5"
"49","49","Variance Films","0.0%","$823k","10","10"
"50","50","The Vladar Company","0.0%","$804k","1","1"
"51","51","Well Go USA","0.0%","$794k","7","7"
"52","52","Cinema Guild","0.0%","$727k","12","6"
"53","53","Callbox LLC","0.0%","$689k","1","0"
"54","54","Drafthouse","0.0%","$685k","6","6"
"55","55","Submarine Deluxe","0.0%","$601k","4","3"
"56","56","Methinx Entertainment","0.0%","$550k","1","1"
"57","57","Pan Media &amp; Entertainment","0.0%","$516k","1","1"
"58","58","Paramount Vantage","0.0%","$498k","1","0"
"59","59","Oscilloscope Pictures","0.0%","$453k","10","7"
"60","60","erbp Film","0.0%","$444k","1","1"
"61","61","The Film Arcade","0.0%","$440k","4","4"
