"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"1","1","Sony / Columbia","14.3%","$1,337.6","24","17","2004"
"2","2","Warner Bros.","12.9%","$1,214.2","28","22","2004"
"3","3","Buena Vista","12.4%","$1,159.1","28","20","2004"
"4","4","DreamWorks SKG","10.0%","$937.1","11","10","2004"
"5","5","20th Century Fox","9.9%","$930.0","18","14","2004"
"6","6","Universal","9.5%","$893.4","20","14","2004"
"7","7","Paramount","6.7%","$628.3","17","14","2004"
"8","8","New Line","4.6%","$430.2","14","10","2004"
"9","9","Newmarket","4.3%","$406.7","8","7","2004"
"10","10","Miramax","3.9%","$368.2","20","13","2004"
"11","11","Lionsgate","3.2%","$302.1","21","18","2004"
"12","12","MGM/UA","2.1%","$198.9","19","15","2004"
"13","13","Fox Searchlight","1.8%","$172.9","11","10","2004"
"14","14","Focus Features","1.0%","$94.5","7","5","2004"
"15","15","Sony Classics","0.4%","$41.0","29","22","2004"
"16","16","Rogue Pictures","0.3%","$30.6","2","2","2004"
"17","17","Dimension Films","0.2%","$20.8","4","1","2004"
"18","18","Giant Screen Films","0.2%","$16.6","2","0","2004"
"19","19","IMAX","0.2%","$15.0","7","1","2004"
"20","20","IDP","0.2%","$14.6","11","9","2004"
"21","21","Alliance","0.2%","$14.1","10","8","2004"
"22","22","Warner Independent","0.1%","$12.1","6","6","2004"
"23","23","Magnolia","0.1%","$10.5","10","10","2004"
"24","24","Fine Line","0.1%","$10.1","5","4","2004"
"25","25","Captured Light Distribution","0.1%","$10.0","1","1","2004"
"26","26","SK Films","0.1%","$9.7","1","0","2004"
"27","27","Triumph","0.1%","$9.2","1","1","2004"
"28","28","IFC","0.1%","$8.2","10","10","2004"
"29","29","ThinkFilm","0.1%","$7.0","13","11","2004"
"30","30","Christal Films","0.1%","$6.4","8","7","2004"
"31","31","Paramount Classics","0.1%","$6.3","10","9","2004"
"32","32","Televisa Cine","0.0%","$4.2","1","1","2004"
"33","33","Yash Raj","0.0%","$4.0","4","3","2004"
"34","34","Mulberry Square","0.0%","$3.8","1","1","2004"
"35","35","Eros","0.0%","$3.3","8","7","2004"
"36","36","New Yorker","0.0%","$2.9","9","5","2004"
"37","37","Wellspring","0.0%","$2.8","14","11","2004"
"38","38","Film Foundry","0.0%","$2.7","1","1","2004"
"39","39","N Wave","0.0%","$2.6","3","0","2004"
"40","40","Odeon","0.0%","$2.6","3","1","2004"
"41","41","TVA","0.0%","$2.6","3","2","2004"
"42","42","Excel","0.0%","$2.5","3","2","2004"
"43","43","Zeitgeist","0.0%","$2.4","7","7","2004"
"44","44","UTV Communications","0.0%","$1.8","3","3","2004"
"45","45","Luke Films","0.0%","$1.8","1","1","2004"
"46","46","Mongrel Media","0.0%","$1.6","1","1","2004"
"47","47","Halestorm","0.0%","$1.5","3","3","2004"
