"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","2013 Movies"
"37","37","Anchor Bay Films","0.0%","$1.6","9","9"
"38","38","Freestyle Releasing","0.0%","$1.6","7","7"
"39","39","ATO Pictures","0.0%","$1.5","2","1"
"40","40","Oscilloscope Pictures","0.0%","$1.4","10","7"
"41","41","Shorts International","0.0%","$1.4","1","1"
"42","42","International Film Circuit","0.0%","$1.3","7","5"
"43","43","Omni Lab/Freestyle Releasing","0.0%","$1.2","1","1"
"44","44","SModcast Pictures","0.0%","$1.1","1","1"
"45","45","First Run","0.0%","$1.0","17","15"
"46","46","Variance Films","0.0%","$1.0","16","14"
"47","47","Abramorama","0.0%","$995k","3","3"
"48","48","Strand","0.0%","$971k","18","14"
"49","49","China Lion","0.0%","$818k","11","9"
"50","50","Pascack Media","0.0%","$740k","1","1"
"51","51","NeoClassics Films","0.0%","$708k","1","1"
"52","52","Cohen Media Group","0.0%","$685k","2","2"
"53","53","Kino","0.0%","$663k","6","4"
"54","54","KKM","0.0%","$535k","1","1"
"55","55","Vitagraph","0.0%","$521k","2","2"
"56","56","Bubble Distribution","0.0%","$509k","1","1"
"57","57","Yash Raj","0.0%","$496k","1","1"
"58","58","Nocturnal Features","0.0%","$471k","4","4"
"59","59","Indomina Media","0.0%","$460k","1","1"
"60","60","Cinema Guild","0.0%","$433k","7","4"
"61","61","CanZion Films","0.0%","$423k","1","0"
"62","62","Janus Films","0.0%","$418k","1","1"
"63","63","Hannover House","0.0%","$418k","3","3"
"64","64","Wrekin Hill","0.0%","$383k","1","1"
"65","65","Peace Film","0.0%","$369k","1","1"
"66","66","Lorber Films","0.0%","$352k","13","9"
"67","67","Screen Media","0.0%","$342k","5","5"
"68","68","Alive Mind Cinema","0.0%","$319k","6","6"
"69","69","Area23a","0.0%","$313k","3","3"
"70","70","Kino Classics","0.0%","$309k","3","3"
"71","71","Image Entertainment","0.0%","$301k","4","4"
"72","72","Rialto","0.0%","$256k","4","4"
"73","73","CJ Entertainment","0.0%","$251k","1","1"
"74","74","Submarine Deluxe","0.0%","$249k","2","2"
"75","75","Five &amp; Two Pictures","0.0%","$247k","2","1"
"76","76","Dada Films","0.0%","$233k","3","3"
"77","77","Millennium Ent.","0.0%","$213k","3","3"
"78","78","Eleven Arts","0.0%","$196k","2","2"
"79","79","AFFRM","0.0%","$171k","2","2"
"80","80","Unknown","0.0%","$159k","4","3"
"81","81","Icarus Films","0.0%","$156k","2","2"
"82","82","Motion Film Group","0.0%","$149k","1","1"
"83","83","The Film Desk","0.0%","$148k","11","5"
"84","84","New Yorker","0.0%","$131k","2","1"
"85","85","Tribeca Film","0.0%","$130k","3","3"
"86","86","Cinema Purgatorio","0.0%","$126k","5","2"
"87","87","Phase 4","0.0%","$123k","4","4"
"88","88","Arc Entertainment","0.0%","$116k","1","1"
"89","89","Insurgent Releasing","0.0%","$116k","1","1"
"90","90","Film Movement","0.0%","$112k","9","7"
"91","91","Moving Pictures","0.0%","$103k","1","1"
"92","92","Monterey Media, Inc.","0.0%","$98.7k","4","4"
"93","93","Balcony Releasing","0.0%","$97.2k","4","2"
"94","94","Full Moon Pictures","0.0%","$91.0k","1","1"
"95","95","GKIDS","0.0%","$88.4k","2","1"
"96","96","Arthouse Films","0.0%","$85.9k","1","0"
"97","97","Truly Indie","0.0%","$85.8k","3","3"
"98","98","Saint Juste","0.0%","$84.9k","1","0"
"99","99","Drafthouse","0.0%","$70.3k","1","0"
"100","100","Life Sentence Films/mTuckman Media","0.0%","$60.3k","1","1"
"101","101","Indican","0.0%","$59.8k","6","3"
"102","102","Cinedigm Entertainment","0.0%","$57.1k","2","2"
"103","103","Kristin Marie Productions","0.0%","$56.6k","1","1"
"104","104","Argot Pictures","0.0%","$56.3k","3","2"
"105","105","Miramax","0.0%","$54.3k","1","0"
"106","106","Long Shot Factory","0.0%","$53.7k","1","2"
"107","107","The Film Collaborative","0.0%","$52.9k","1","0"
"108","108","Rocket Releasing","0.0%","$49.8k","2","2"
"109","109","Kino Lorber","0.0%","$46.5k","3","3"
"110","110","Crimson Films/PMK*BNC","0.0%","$43.7k","1","1"
"111","111","B.D. Fox","0.0%","$41.9k","1","1"
"112","112","Shotown Pictures","0.0%","$40.4k","1","1"
"113","113","108 Pics","0.0%","$35.0k","1","1"
"114","114","Docurama Films","0.0%","$34.6k","1","1"
"115","115","Corinth Films","0.0%","$34.1k","1","1"
"116","116","Category One","0.0%","$27.0k","1","1"
"117","117","The World According to Shorts","0.0%","$23.2k","1","0"
"118","118","Olive Films","0.0%","$19.6k","1","1"
"119","119","CrowdStarter","0.0%","$19.1k","1","1"
"120","120","Wolfe Releasing","0.0%","$19.0k","1","0"
"121","121","Rumur Releasing","0.0%","$18.0k","1","1"
"122","122","Alpha Galore","0.0%","$15.8k","1","1"
"123","123","Clay Way Media","0.0%","$15.3k","1","0"
"124","124","FilmDemic","0.0%","$15.0k","1","1"
"125","125","Maya Entertainment","0.0%","$13.8k","1","1"
"126","126","Tostie Productions","0.0%","$13.1k","1","1"
"127","127","PMK*BNC","0.0%","$12.4k","1","1"
"128","128","Fisher-Klingenstein Films","0.0%","$12.1k","1","1"
"129","129","Bigfoot Ascendant","0.0%","$12.0k","1","1"
"130","130","Check Entertainment","0.0%","$11.0k","1","1"
"131","131","Cinema Libre","0.0%","$10.7k","3","3"
"132","132","CAVU","0.0%","$9.6k","1","1"
"133","133","Worldplay","0.0%","$9.5k","1","0"
"134","134","Entertainment One","0.0%","$6.0k","1","1"
"135","135","Driving With Our Eyes Shut","0.0%","$5.3k","2","1"
"136","136","Kinobild Releasing","0.0%","$5.2k","1","1"
"137","137","Extra Butter","0.0%","$4.0k","1","1"
"138","138","The Nobelity Project","0.0%","$3.5k","1","1"
"139","139","AfterLight","0.0%","$2.8k","1","1"
"140","140","Embrem Entertainment","0.0%","$1.7k","1","0"
"141","141","Blackrock Films","0.0%","$1.5k","1","1"
"142","142","Trillian","0.0%","$1.1k","1","0"
"143","143","Breaking Glass Pictures","0.0%","$1.0k","1","1"
"144","144","Flicker Alley","0.0%","$0.7k","1","0"
"145","145","Found-Charger Cinema","0.0%","$0.3k","1","1"
