"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","2013 Movies"
"1","1","Paramount","19.2%","$1,957.1","21","15"
"2","2","Warner Bros.","17.9%","$1,826.2","38","26"
"3","3","Sony / Columbia","12.5%","$1,273.7","28","23"
"4","4","Buena Vista","12.2%","$1,240.7","17","14"
"5","5","Universal","10.2%","$1,040.6","17","15"
"6","6","20th Century Fox","9.6%","$977.9","19","15"
"7","7","Summit Entertainment","4.0%","$411.6","10","8"
"8","8","Weinstein Company","2.9%","$296.1","17","15"
"9","9","Relativity","2.2%","$228.1","8","7"
"10","10","Lionsgate","1.8%","$184.0","15","12"
"11","11","Fox Searchlight","1.5%","$152.4","13","11"
"12","12","Focus Features","1.2%","$126.9","9","8"
"13","13","FilmDistrict","1.2%","$126.0","5","5"
"14","14","Sony Classics","0.9%","$90.2","25","17"
"15","15","CBS Films","0.6%","$57.4","3","2"
"16","16","Roadside Attractions","0.3%","$28.0","14","12"
"17","17","Open Road Films","0.2%","$25.1","1","1"
"18","18","IFC","0.2%","$17.6","45","41"
"19","19","Eros","0.1%","$11.2","14","14"
"20","20","Codeblack Entertainment","0.1%","$7.7","1","1"
"21","21","Magnolia","0.1%","$7.7","29","26"
"22","22","Samuel Goldwyn","0.1%","$6.5","8","8"
"23","23","Reliance Big Pictures","0.1%","$6.3","5","5"
"24","24","Producers Distribution Agency","0.1%","$5.8","2","2"
"25","25","Rocky Mountain Pictures","0.0%","$5.0","3","3"
"26","26","3D Entertainment","0.0%","$4.5","1","0"
"27","27","Visio Entertainment","0.0%","$4.4","1","1"
"28","28","Music Box Films","0.0%","$4.1","16","11"
"29","29","UTV Communications","0.0%","$3.5","10","9"
"30","30","Paramount Vantage","0.0%","$3.4","1","1"
"31","31","Newmarket","0.0%","$2.7","1","1"
"32","32","Imax","0.0%","$2.6","4","0"
"33","33","Zeitgeist","0.0%","$2.3","6","5"
"34","34","National Geographic Entertainment","0.0%","$1.9","8","6"
"35","35","Quaker Media","0.0%","$1.9","1","1"
"36","36","Paladin","0.0%","$1.8","6","6"
