"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"1","1","Warner Bros.","19.8%","$2,105.7","37","28","2009"
"2","2","Paramount","13.9%","$1,476.1","16","13","2009"
"3","3","Sony / Columbia","13.7%","$1,456.2","24","21","2009"
"4","4","20th Century Fox","13.1%","$1,394.5","21","16","2009"
"5","5","Buena Vista","11.6%","$1,228.8","24","18","2009"
"6","6","Universal","8.4%","$890.3","21","17","2009"
"7","7","Summit Entertainment","4.5%","$482.5","11","9","2009"
"8","8","Lionsgate","3.8%","$406.0","14","12","2009"
"9","9","Fox Searchlight","2.4%","$257.1","12","9","2009"
"10","10","Weinstein Company","1.9%","$205.3","10","8","2009"
"11","11","Focus Features","1.5%","$161.5","10","9","2009"
"12","12","Overture Films","1.5%","$157.8","8","6","2009"
"13","13","Paramount Vantage","0.6%","$66.4","5","3","2009"
"14","14","MGM/UA","0.6%","$65.2","5","1","2009"
"15","15","Miramax","0.6%","$61.9","8","5","2009"
"16","16","Sony Classics","0.5%","$48.7","27","20","2009"
"17","17","Rogue Pictures","0.2%","$23.1","1","1","2009"
"18","18","Apparition","0.2%","$16.5","4","4","2009"
"19","19","Freestyle Releasing","0.1%","$12.7","7","6","2009"
"20","20","Magnolia","0.1%","$12.6","28","25","2009"
"21","21","Roadside Attractions","0.1%","$11.3","13","11","2009"
"22","22","IFC","0.1%","$10.5","30","25","2009"
"23","23","IMAX","0.1%","$8.0","5","0","2009"
"24","24","Eros","0.1%","$6.2","6","6","2009"
"25","25","UTV Communications","0.0%","$4.1","8","8","2009"
"26","26","Samuel Goldwyn","0.0%","$3.8","9","8","2009"
"27","27","National Geographic Entertainment","0.0%","$3.6","3","1","2009"
"28","28","Reliance Big Pictures","0.0%","$3.3","1","1","2009"
"29","29","Regent Releasing","0.0%","$2.6","18","11","2009"
"30","30","3D Entertainment","0.0%","$2.0","1","0","2009"
"31","31","Story Island Entertainment","0.0%","$2.0","1","1","2009"
"32","32","Oscilloscope Pictures","0.0%","$2.0","7","6","2009"
"33","33","Yash Raj","0.0%","$1.9","4","3","2009"
"34","34","Truly Indie","0.0%","$1.8","5","5","2009"
"35","35","Music Box Films","0.0%","$1.8","5","4","2009"
"36","36","Vivendi Entertainment","0.0%","$1.6","3","3","2009"
"37","37","First Look","0.0%","$1.4","1","1","2009"
"38","38","AdLabs","0.0%","$1.4","8","7","2009"
"39","39","International Film Circuit","0.0%","$1.3","4","4","2009"
"40","40","Five &amp; Two Pictures","0.0%","$1.2","1","1","2009"
"41","41","Indican","0.0%","$1.1","6","5","2009"
"42","42","Slowhand Cinema","0.0%","$872k","4","4","2009"
"43","43","Zeitgeist","0.0%","$810k","12","9","2009"
"44","44","Screen Media","0.0%","$801k","7","7","2009"
"45","45","8X Entertainment","0.0%","$742k","1","1","2009"
"46","46","Strand","0.0%","$740k","15","12","2009"
"47","47","Abramorama","0.0%","$727k","4","4","2009"
"48","48","After Dark Films","0.0%","$666k","1","1","2009"
"49","49","Studio 18","0.0%","$660k","4","4","2009"
"50","50","Shorts International","0.0%","$645k","1","1","2009"
"51","51","Vitagraph","0.0%","$523k","2","2","2009"
"52","52","Cinema Guild","0.0%","$523k","8","5","2009"
"53","53","American Zoetrope","0.0%","$519k","1","1","2009"
"54","54","First Run","0.0%","$488k","16","13","2009"
"55","55","Elephant Eye Films","0.0%","$486k","1","1","2009"
"56","56","Shadow Dist.","0.0%","$479k","4","4","2009"
"57","57","Anchor Bay Films","0.0%","$473k","8","8","2009"
"58","58","Full Circle Releasing","0.0%","$398k","1","1","2009"
"59","59","Zipporah Films","0.0%","$395k","1","1","2009"
"60","60","Liberation Entertainment","0.0%","$352k","2","1","2009"
"61","61","Variance Films","0.0%","$338k","6","6","2009"
"62","62","First Independent Pictures","0.0%","$336k","3","2","2009"
"63","63","Janus Films","0.0%","$318k","2","1","2009"
"64","64","Cinedigm Entertainment","0.0%","$315k","3","3","2009"
"65","65","Kino","0.0%","$307k","7","3","2009"
"66","66","Senator Distribution","0.0%","$300k","1","1","2009"
