"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"70","70","Adopt Films","0.0%","$306k","2","2","2012"
"71","71","Rialto","0.0%","$303k","7","7","2012"
"72","72","Callbox LLC","0.0%","$289k","1","1","2012"
"73","73","The Film Arcade","0.0%","$286k","2","2","2012"
"74","74","Paladin/Unison","0.0%","$256k","1","1","2012"
"75","75","Long Shot Factory","0.0%","$251k","4","2","2012"
"76","76","AFFRM","0.0%","$245k","2","2","2012"
"77","77","Janus Films","0.0%","$244k","3","2","2012"
"78","78","Abramorama","0.0%","$219k","2","2","2012"
"79","79","Area23a","0.0%","$215k","5","4","2012"
"80","80","ArtAffects","0.0%","$178k","1","1","2012"
"81","81","Cinedigm/Brian&amp;Barrett","0.0%","$172k","1","1","2012"
"82","82","Brainstorm and Double Hope","0.0%","$166k","1","1","2012"
"83","83","Dada Films","0.0%","$161k","5","3","2012"
"84","84","Zipporah Films","0.0%","$158k","1","1","2012"
"85","85","New Yorker","0.0%","$158k","2","2","2012"
"86","86","Indican","0.0%","$157k","12","9","2012"
"87","87","Film Movement","0.0%","$126k","8","6","2012"
"88","88","Screen Media","0.0%","$117k","2","2","2012"
"89","89","Paladin","0.0%","$114k","4","3","2012"
"90","90","Freestyle Releasing","0.0%","$106k","3","3","2012"
"91","91","Alive Mind Cinema","0.0%","$104k","6","2","2012"
"92","92","PMK*BNC","0.0%","$104k","2","2","2012"
"93","93","In the Family","0.0%","$102k","1","0","2012"
"94","94","The Film Desk","0.0%","$98.6k","12","3","2012"
"95","95","Sycamore","0.0%","$83.6k","1","1","2012"
"96","96","Cinedigm Entertainment","0.0%","$82.2k","3","3","2012"
"97","97","Palisades Tartan","0.0%","$75.5k","1","1","2012"
"98","98","Monterey Media, Inc.","0.0%","$74.0k","6","6","2012"
"99","99","Hannover House","0.0%","$73.2k","2","1","2012"
"100","100","Snagfilms","0.0%","$61.7k","2","2","2012"
"101","101","Tyscot Manhaddon &amp; Releve","0.0%","$54.0k","1","1","2012"
"102","102","Flicker Alley","0.0%","$53.0k","1","1","2012"
"103","103","S2BN Films","0.0%","$47.7k","1","1","2012"
"104","104","Outsider Films","0.0%","$47.0k","2","2","2012"
"105","105","Fisher-Klingenstein Films","0.0%","$43.6k","1","1","2012"
"106","106","Kino Classics","0.0%","$41.5k","2","0","2012"
"107","107","Slater Brothers","0.0%","$36.5k","2","2","2012"
"108","108","NeoClassics Films","0.0%","$35.7k","1","1","2012"
"109","109","Cinema Libre","0.0%","$34.5k","3","2","2012"
"110","110","Brainstorm Media","0.0%","$33.1k","2","2","2012"
"111","111","Joules Films","0.0%","$30.7k","1","1","2012"
"112","112","Image Entertainment","0.0%","$27.3k","2","2","2012"
"113","113","House Lights Media","0.0%","$25.7k","2","2","2012"
"114","114","APD/Cinema Conservancy","0.0%","$25.4k","2","2","2012"
"115","115","Cinema Conservancy","0.0%","$24.7k","2","2","2012"
"116","116","Red Flag Releasing","0.0%","$23.0k","2","2","2012"
"117","117","The Film Collaborative","0.0%","$22.7k","2","2","2012"
"118","118","Better Than Something","0.0%","$21.7k","1","1","2012"
"119","119","Pasidg Productions","0.0%","$21.6k","1","1","2012"
"120","120","KKM","0.0%","$20.5k","1","0","2012"
"121","121","Truly Indie","0.0%","$19.1k","2","2","2012"
"122","122","Unknown","0.0%","$18.9k","1","1","2012"
"123","123","Argot Pictures","0.0%","$18.8k","2","2","2012"
"124","124","Outsider Pictures","0.0%","$18.0k","1","1","2012"
"125","125","Gigapix Releasing","0.0%","$18.0k","1","1","2012"
"126","126","Dutchmen Films","0.0%","$16.0k","1","1","2012"
"127","127","Icarus Films","0.0%","$14.7k","4","2","2012"
"128","128","GoDigital","0.0%","$14.6k","1","1","2012"
"129","129","Epic Pictures","0.0%","$14.4k","1","1","2012"
"130","130","Secret Identity","0.0%","$14.1k","1","1","2012"
"131","131","Datari Turner Productions","0.0%","$13.5k","1","1","2012"
"132","132","7A Productions","0.0%","$13.1k","1","1","2012"
"133","133","Pro-Motion Pictures","0.0%","$9.0k","1","1","2012"
"134","134","Pelican House","0.0%","$8.6k","1","1","2012"
"135","135","Cinema Purgatorio","0.0%","$6.1k","1","0","2012"
"136","136","Transparent/Outerstratosphere","0.0%","$6.0k","1","1","2012"
"137","137","Docurama Films","0.0%","$6.0k","1","0","2012"
"138","138","Driving With Our Eyes Shut","0.0%","$5.5k","1","0","2012"
"139","139","Shotown Pictures","0.0%","$4.8k","1","0","2012"
"140","140","Corinth/TV360","0.0%","$3.8k","1","1","2012"
"141","141","Gravity Arch","0.0%","$3.7k","1","1","2012"
"142","142","Breaking Glass Pictures","0.0%","$3.2k","1","1","2012"
"143","143","AfterLight","0.0%","$2.6k","1","1","2012"
"144","144","Cortelyou Films","0.0%","$2.2k","1","1","2012"
"145","145","Worldplay","0.0%","$2.1k","1","0","2012"
"146","146","Found-Charger Cinema","0.0%","$2.1k","2","1","2012"
"147","147","Feature Presentations Releasing","0.0%","$2.0k","1","1","2012"
"148","148","KimStim/Zeitgeist Films","0.0%","$1.4k","1","1","2012"
"149","149","Kino","0.0%","$0.7k","1","0","2012"
