"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"1","1","Sony / Columbia","16.6%","$1,792.2","25","19","2012"
"2","2","Warner Bros.","15.4%","$1,665.4","36","24","2012"
"3","3","Buena Vista","14.3%","$1,551.4","18","13","2012"
"4","4","Universal","12.2%","$1,323.9","17","16","2012"
"5","5","Lionsgate","11.4%","$1,239.1","22","22","2012"
"6","6","20th Century Fox","9.5%","$1,025.4","19","15","2012"
"7","7","Paramount","8.4%","$914.4","21","14","2012"
"8","8","Weinstein Company","2.4%","$258.2","18","15","2012"
"9","9","Relativity","1.9%","$202.4","6","5","2012"
"10","10","Focus Features","1.3%","$144.6","10","8","2012"
"11","11","Open Road Films","1.3%","$136.4","5","5","2012"
"12","12","Fox Searchlight","1.1%","$117.8","10","7","2012"
"13","13","CBS Films","0.8%","$89.9","4","4","2012"
"14","14","FilmDistrict","0.7%","$75.0","6","4","2012"
"15","15","Sony Classics","0.5%","$50.0","24","16","2012"
"16","16","Rocky Mountain Pictures","0.3%","$37.4","8","8","2012"
"17","17","Roadside Attractions","0.2%","$19.4","11","10","2012"
"18","18","Magnolia","0.2%","$16.5","37","32","2012"
"19","19","Summit Entertainment","0.1%","$16.2","2","0","2012"
"20","20","Eros","0.1%","$13.8","16","16","2012"
"21","21","IFC","0.1%","$13.8","38","37","2012"
"22","22","Millennium Ent.","0.1%","$11.3","9","9","2012"
"23","23","Samuel Goldwyn","0.1%","$9.7","9","9","2012"
"24","24","Arc Entertainment","0.1%","$9.2","3","3","2012"
"25","25","LD Entertainment","0.1%","$8.8","2","2","2012"
"26","26","UTV Communications","0.1%","$6.5","15","15","2012"
"27","27","Yash Raj","0.1%","$5.4","3","3","2012"
"28","28","Oscilloscope Pictures","0.0%","$5.1","9","8","2012"
"29","29","Paramount Vantage","0.0%","$4.4","3","2","2012"
"30","30","National Geographic Entertainment","0.0%","$4.0","1","1","2012"
"31","31","Music Box Films","0.0%","$3.9","17","11","2012"
"32","32","Reliance Big Pictures","0.0%","$3.6","2","1","2012"
"33","33","Atlas Distribution","0.0%","$3.3","1","1","2012"
"34","34","3D Entertainment","0.0%","$2.9","2","1","2012"
"35","35","Cohen Media Group","0.0%","$2.7","4","4","2012"
"36","36","Imax","0.0%","$2.3","4","0","2012"
"37","37","Entertainment One","0.0%","$2.2","7","7","2012"
"38","38","Indomina Media","0.0%","$1.9","4","4","2012"
"39","39","Branded/Peck Ent.","0.0%","$1.8","1","1","2012"
"40","40","Shorts International","0.0%","$1.7","1","1","2012"
"41","41","China Lion","0.0%","$1.7","12","12","2012"
"42","42","ATO Pictures","0.0%","$1.3","4","4","2012"
"43","43","CJ Entertainment","0.0%","$1.3","3","3","2012"
"44","44","Kino Lorber","0.0%","$1.2","23","20","2012"
"45","45","FIP","0.0%","$1.2","1","1","2012"
"46","46","Codeblack Entertainment","0.0%","$1.2","1","1","2012"
"47","47","Kenn Viselman Presents","0.0%","$1.1","1","1","2012"
"48","48","Veracity","0.0%","$1.0","1","1","2012"
"49","49","Anchor Bay Films","0.0%","$997k","7","7","2012"
"50","50","Well Go USA","0.0%","$937k","5","5","2012"
"51","51","Submarine Deluxe","0.0%","$863k","4","2","2012"
"52","52","Variance Films","0.0%","$827k","11","6","2012"
"53","53","Page 124 Productions","0.0%","$769k","1","1","2012"
"54","54","Nocturnal Features","0.0%","$763k","5","5","2012"
"55","55","Strand","0.0%","$746k","18","16","2012"
"56","56","GKIDS","0.0%","$678k","4","4","2012"
"57","57","Radius-TWC","0.0%","$649k","5","5","2012"
"58","58","Zeitgeist","0.0%","$620k","6","5","2012"
"59","59","Producers Distribution Agency","0.0%","$479k","3","2","2012"
"60","60","Arenas Entertainment","0.0%","$451k","1","0","2012"
"61","61","Cinema Guild","0.0%","$419k","11","9","2012"
"62","62","International Film Circuit","0.0%","$411k","7","5","2012"
"63","63","First Run","0.0%","$398k","24","19","2012"
"64","64","Wrekin Hill","0.0%","$382k","3","3","2012"
"65","65","Loki Films","0.0%","$376k","1","1","2012"
"66","66","MPI Media Group","0.0%","$364k","2","2","2012"
"67","67","Tribeca Film","0.0%","$343k","12","12","2012"
"68","68","Drafthouse","0.0%","$339k","5","5","2012"
"69","69","Eleven Arts","0.0%","$311k","2","2","2012"
