"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","2007 Movies"
"1","1","Paramount","15.5%","$1,499.3","20","16"
"2","2","Warner Bros.","14.7%","$1,417.4","34","24"
"3","3","Buena Vista","14.0%","$1,350.2","21","13"
"4","4","Sony / Columbia","12.9%","$1,245.6","31","25"
"5","5","Universal","11.4%","$1,101.9","20","18"
"6","6","20th Century Fox","10.5%","$1,017.7","24","16"
"7","7","New Line","5.0%","$487.5","17","13"
"8","8","Lionsgate","3.8%","$368.1","17","17"
"9","9","MGM/UA","3.8%","$366.2","29","19"
"10","10","Fox Searchlight","1.4%","$132.8","15","10"
"11","11","Miramax","1.3%","$126.1","10","8"
"12","12","Rogue Pictures","0.8%","$73.0","3","3"
"13","13","Picturehouse","0.6%","$60.6","9","8"
"14","14","Paramount Vantage","0.6%","$60.4","9","8"
"15","15","Focus Features","0.5%","$51.0","6","6"
"16","16","Sony Classics","0.4%","$38.9","23","18"
"17","17","Weinstein Company","0.4%","$37.0","12","9"
"18","18","IDP","0.2%","$22.5","8","7"
"19","19","Warner Independent","0.2%","$15.7","7","5"
"20","20","Yari Film Group","0.2%","$14.8","9","8"
"21","21","Imax","0.2%","$14.7","6","0"
"22","22","Eros","0.1%","$13.6","13","13"
"23","23","Freestyle Releasing","0.1%","$12.8","4","4"
"24","24","Alliance","0.1%","$12.0","17","13"
"25","25","ThinkFilm","0.1%","$11.4","26","21"
"26","26","First Look","0.1%","$10.7","8","6"
"27","27","IFC","0.1%","$9.3","33","30"
"28","28","Roadside Attractions","0.1%","$8.8","7","7"
"29","29","N Wave","0.1%","$8.6","3","0"
"30","30","Chicago Pictures","0.1%","$6.9","1","1"
"31","31","Magnolia","0.1%","$6.4","23","21"
"32","32","After Dark Films","0.1%","$6.4","6","6"
"33","33","Sony BMG","0.1%","$5.9","2","2"
"34","34","National Geographic Entertainment","0.1%","$5.8","1","1"
"35","35","Samuel Goldwyn","0.1%","$5.7","3","3"
"36","36","The Bigger Picture","0.1%","$5.3","6","6"
"37","37","Summit Entertainment","0.0%","$4.0","1","1"
"38","38","Yash Raj","0.0%","$3.9","7","5"
"39","39","AdLabs","0.0%","$2.1","2","2"
"40","40","Slowhand Cinema","0.0%","$1.5","7","6"
"41","41","UTV Communications","0.0%","$1.2","4","4"
"42","42","Rocky Mountain Pictures","0.0%","$1.1","4","4"
"43","43","Zeitgeist","0.0%","$1.1","5","2"
"44","44","Kino","0.0%","$892k","10","8"
"45","45","Libero, LLC","0.0%","$816k","1","0"
"46","46","518 Media","0.0%","$774k","2","1"
"47","47","SK Films","0.0%","$745k","1","0"
"48","48","Excel","0.0%","$717k","2","1"
"49","49","Rialto","0.0%","$652k","5","3"
"50","50","ImaginAsian Pictures","0.0%","$641k","1","1"
"51","51","City Lights Pictures Releasing","0.0%","$601k","4","4"
"52","52","Tartan","0.0%","$575k","5","4"
"53","53","Shadow Dist.","0.0%","$568k","4","4"
"54","54","Borotoro","0.0%","$488k","1","1"
"55","55","Strand","0.0%","$471k","22","16"
"56","56","Janus Films","0.0%","$456k","6","5"
"57","57","Rainbow Films","0.0%","$433k","2","1"
"58","58","Milestone","0.0%","$413k","2","2"
"59","59","Indican","0.0%","$406k","7","3"
"60","60","First Run","0.0%","$379k","12","9"
"61","61","Newmarket","0.0%","$365k","2","2"
"62","62","Monterey Media, Inc.","0.0%","$346k","4","4"
"63","63","Koch Lorber Films","0.0%","$346k","5","5"
"64","64","New Yorker","0.0%","$335k","9","7"
"65","65","Emerging Pictures","0.0%","$332k","6","6"
"66","66","Arts Alliance America","0.0%","$303k","1","1"
"67","67","Palm","0.0%","$298k","4","4"
