"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","2006 Movies"
"1","1","Sony / Columbia","18.6%","$1,710.9","34","27"
"2","2","Buena Vista","16.2%","$1,492.6","25","19"
"3","3","20th Century Fox","15.2%","$1,398.4","28","24"
"4","4","Warner Bros.","11.6%","$1,065.8","27","21"
"5","5","Paramount","10.3%","$947.3","19","16"
"6","6","Universal","8.9%","$815.2","21","17"
"7","7","Lionsgate","3.6%","$331.4","19","17"
"8","8","New Line","2.7%","$251.5","13","10"
"9","9","Weinstein Company","2.5%","$226.5","15","9"
"10","10","MGM/UA","1.8%","$166.8","13","16"
"11","11","Fox Searchlight","1.8%","$165.7","16","13"
"12","12","Focus Features","1.3%","$118.5","9","7"
"13","13","Rogue Pictures","0.7%","$65.4","4","4"
"14","14","Sony Classics","0.7%","$60.4","24","17"
"15","15","Miramax","0.5%","$45.9","9","9"
"16","16","Yari Film Group","0.4%","$41.2","4","4"
"17","17","Warner Independent","0.3%","$27.5","10","8"
"18","18","Paramount Classics","0.3%","$26.9","4","4"
"19","19","Picturehouse","0.3%","$23.9","7","6"
"20","20","DreamWorks SKG","0.2%","$23.0","3","0"
"21","21","Freestyle Releasing","0.2%","$20.0","9","9"
"22","22","Paramount Vantage","0.2%","$19.8","1","1"
"23","23","Alliance","0.2%","$18.0","7","8"
"24","24","IDP","0.2%","$15.2","14","12"
"25","25","IMAX","0.2%","$14.6","6","1"
"26","26","8X Entertainment","0.1%","$13.4","1","1"
"27","27","Rocky Mountain Pictures","0.1%","$12.1","5","5"
"28","28","Magnolia","0.1%","$10.8","17","15"
"29","29","ThinkFilm","0.1%","$10.7","25","21"
"30","30","Yash Raj","0.1%","$8.3","4","4"
"31","31","IFC","0.1%","$6.9","30","29"
"32","32","N Wave","0.1%","$6.4","4","0"
"33","33","UTV Communications","0.1%","$5.5","7","6"
"34","34","Eros","0.0%","$4.4","9","9"
"35","35","Wingate Distribution","0.0%","$3.1","1","1"
"36","36","First Look","0.0%","$2.7","5","5"
"37","37","AdLabs","0.0%","$2.6","4","4"
"38","38","Romar Entertainment","0.0%","$2.4","1","1"
"39","39","Rainbow Films","0.0%","$2.0","4","4"
"40","40","Cineville","0.0%","$1.6","1","0"
"41","41","SK Films","0.0%","$1.6","1","0"
"42","42","Slowhand Cinema","0.0%","$1.2","7","5"
"43","43","Shadow Dist.","0.0%","$1.2","7","2"
"44","44","Zeitgeist","0.0%","$1.2","6","5"
"45","45","Koch Lorber Films","0.0%","$1.1","4","3"
"46","46","TLA Releasing","0.0%","$993k","7","5"
"47","47","Rialto","0.0%","$957k","5","4"
"48","48","Libero, LLC","0.0%","$890k","1","1"
"49","49","Excel","0.0%","$710k","1","1"
"50","50","Palm","0.0%","$706k","12","11"
"51","51","Ram Entertainment","0.0%","$617k","1","1"
"52","52","First Run","0.0%","$588k","13","9"
"53","53","Regent Releasing","0.0%","$563k","12","11"
"54","54","Halestorm","0.0%","$544k","2","2"
"55","55","Newmarket","0.0%","$519k","1","1"
"56","56","Tartan","0.0%","$488k","7","5"
"57","57","Strand","0.0%","$472k","18","14"
"58","58","Echo Bridge Entertainment","0.0%","$472k","1","1"
"59","59","Triumph","0.0%","$464k","1","1"
"60","60","Indican","0.0%","$447k","12","6"
"61","61","Kino","0.0%","$426k","8","7"
"62","62","Cyan Pictures","0.0%","$425k","2","2"
"63","63","ABS-CBN International","0.0%","$417k","3","3"
"64","64","Cinema Guild","0.0%","$400k","4","2"
"65","65","First Independent Pictures","0.0%","$387k","5","4"
"66","66","Fabrication Films","0.0%","$383k","2","1"
"67","67","Giant Screen Films","0.0%","$377k","2","0"
"68","68","Truly Indie","0.0%","$318k","8","8"
