"No.","Rank","Distributor","Market Share","Total Gross","Movies Tracked","# Movies","Year"
"1","1","Warner Bros.","15.6%","$1,377.1","25","19","2005"
"2","2","20th Century Fox","15.3%","$1,353.9","21","18","2005"
"3","3","Universal","11.4%","$1,010.2","24","19","2005"
"4","4","Buena Vista","10.4%","$921.5","23","17","2005"
"5","5","Sony / Columbia","10.4%","$917.8","27","24","2005"
"6","6","Paramount","9.4%","$832.2","17","12","2005"
"7","7","DreamWorks SKG","5.7%","$501.8","10","9","2005"
"8","8","New Line","4.8%","$420.5","13","10","2005"
"9","9","Lionsgate","3.2%","$284.0","20","18","2005"
"10","10","Dimension Films","2.1%","$185.1","7","6","2005"
"11","11","Miramax","2.1%","$183.7","17","14","2005"
"12","12","MGM/UA","2.1%","$181.5","10","9","2005"
"13","13","Warner Independent","1.3%","$114.5","7","6","2005"
"14","14","Focus Features","1.2%","$104.5","8","7","2005"
"15","15","Fox Searchlight","1.2%","$102.1","11","6","2005"
"16","16","Sony Classics","0.7%","$63.9","30","23","2005"
"17","17","Rogue Pictures","0.6%","$54.6","3","3","2005"
"18","18","Weinstein Company","0.5%","$46.9","6","7","2005"
"19","19","Paramount Classics","0.4%","$32.5","8","6","2005"
"20","20","IMAX","0.2%","$18.9","8","2","2005"
"21","21","IDP","0.2%","$17.6","10","9","2005"
"22","22","ThinkFilm","0.2%","$14.0","17","15","2005"
"23","23","N Wave","0.1%","$9.3","4","1","2005"
"24","24","Magnolia","0.1%","$9.2","8","8","2005"
"25","25","Newmarket","0.1%","$7.5","6","5","2005"
"26","26","IFC","0.1%","$7.3","13","12","2005"
"27","27","Eros","0.1%","$5.4","13","13","2005"
"28","28","Yash Raj","0.0%","$4.3","6","5","2005"
"29","29","Giant Screen Films","0.0%","$4.1","2","0","2005"
"30","30","Fine Line","0.0%","$4.0","5","3","2005"
"31","31","Shadow Dist.","0.0%","$3.4","6","5","2005"
"32","32","Aloha Releasing","0.0%","$3.0","1","1","2005"
"33","33","Slowhand Cinema","0.0%","$2.9","6","5","2005"
"34","34","Wellspring","0.0%","$2.8","17","10","2005"
"35","35","SK Films","0.0%","$2.7","1","0","2005"
"36","36","Picturehouse","0.0%","$2.7","4","4","2005"
"37","37","UTV Communications","0.0%","$2.5","6","5","2005"
"38","38","Excel","0.0%","$2.4","2","0","2005"
"39","39","Mongrel Media","0.0%","$2.3","1","1","2005"
"40","40","Vineyard Distribution","0.0%","$1.9","1","1","2005"
"41","41","Tartan","0.0%","$1.7","10","8","2005"
"42","42","Holedigger Studios","0.0%","$1.6","2","2","2005"
"43","43","Televisa Cine","0.0%","$1.4","2","2","2005"
"44","44","Emissary Productions","0.0%","$1.2","1","1","2005"
"45","45","Monterey Media, Inc.","0.0%","$1.2","1","1","2005"
"46","46","Palm","0.0%","$1.1","7","7","2005"
"47","47","Freestyle Releasing","0.0%","$1.1","6","6","2005"
"48","48","Zeitgeist","0.0%","$1.0","5","5","2005"
"49","49","Empire","0.0%","$1.0","4","3","2005"
"50","50","Strand","0.0%","$968k","13","10","2005"
"51","51","Captured Light Distribution","0.0%","$898k","1","0","2005"
"52","52","Luke Films","0.0%","$852k","1","0","2005"
"53","53","Indican","0.0%","$773k","13","8","2005"
"54","54","Kino","0.0%","$768k","12","9","2005"
"55","55","Regent Releasing","0.0%","$588k","9","6","2005"
"56","56","Vitagraph","0.0%","$584k","6","6","2005"
"57","57","New Yorker","0.0%","$573k","10","7","2005"
"58","58","Halestorm","0.0%","$565k","3","2","2005"
"59","59","Rialto","0.0%","$559k","4","4","2005"
"60","60","Triumph","0.0%","$469k","1","1","2005"
"61","61","Cinema Guild","0.0%","$379k","5","3","2005"
"62","62","Northern Arts","0.0%","$337k","1","1","2005"
"63","63","First Look","0.0%","$332k","5","5","2005"
"64","64","Picture This!","0.0%","$331k","7","6","2005"
"65","65","Mela Films","0.0%","$316k","1","0","2005"
"66","66","TLA Releasing","0.0%","$283k","8","7","2005"
"67","67","Animation Show","0.0%","$247k","1","1","2005"
"68","68","First Run","0.0%","$233k","16","11","2005"
"69","69","Bauer Martinez Distribution","0.0%","$205k","1","1","2005"
"70","70","Main Street Movie Co.","0.0%","$203k","1","1","2005"
"71","71","Arrival Pictures","0.0%","$203k","1","1","2005"
"72","72","First Independent Pictures","0.0%","$176k","1","1","2005"
"73","73","Lange Releasing","0.0%","$165k","1","1","2005"
"74","74","Ariztical Entertainment","0.0%","$155k","1","1","2005"
"75","75","Geneon Entertainment","0.0%","$129k","1","1","2005"
"76","76","Emerging Pictures","0.0%","$124k","1","1","2005"
"77","77","Matson Films","0.0%","$121k","1","1","2005"
"78","78","Cinema Libre","0.0%","$114k","4","3","2005"
"79","79","Koch Lorber Films","0.0%","$109k","3","3","2005"
"80","80","Illuminare Entertainment","0.0%","$103k","2","2","2005"
"81","81","International Film Circuit","0.0%","$98.4k","1","1","2005"
"82","82","Lovett Releasing","0.0%","$89.3k","1","1","2005"
"83","83","Meadowbrook Pictures","0.0%","$79.6k","1","1","2005"
"84","84","Goodbye Cruel Releasing","0.0%","$77.1k","1","1","2005"
"85","85","Avatar","0.0%","$76.0k","2","1","2005"
"86","86","Maxmedia/Endgame Pictures","0.0%","$73.7k","1","0","2005"
"87","87","Innovation Film Group","0.0%","$72.8k","1","1","2005"
"88","88","Cineville","0.0%","$72.4k","2","2","2005"
"89","89","Jour de Fete","0.0%","$72.1k","1","1","2005"
"90","90","California Newsreel","0.0%","$68.2k","1","1","2005"
"91","91","Kria, Inc.","0.0%","$64.1k","3","3","2005"
"92","92","Wolfe Releasing","0.0%","$53.4k","3","2","2005"
"93","93","Economic Projections","0.0%","$49.0k","1","1","2005"
"94","94","Slippery Chicken Pictures","0.0%","$47.2k","1","1","2005"
"95","95","Five Sisters","0.0%","$46.8k","1","0","2005"
"96","96","Painted Zebra Releasing","0.0%","$46.0k","1","0","2005"
"97","97","Echo Bridge Entertainment","0.0%","$45.0k","1","1","2005"
"98","98","Laemmle / Zeller Films","0.0%","$42.5k","2","2","2005"
"99","99","Castle Hill","0.0%","$37.3k","7","6","2005"
"100","100","Artistic License","0.0%","$35.0k","2","2","2005"
"101","101","Fader Films","0.0%","$34.9k","1","1","2005"
"102","102","Film Movement","0.0%","$34.8k","1","1","2005"
"103","103","Viz Media","0.0%","$34.4k","1","1","2005"
"104","104","RBC Radio","0.0%","$34.3k","1","0","2005"
"105","105","Rainbow Releasing","0.0%","$31.9k","1","1","2005"
"106","106","Balcony Releasing","0.0%","$29.3k","2","2","2005"
"107","107","Icarus Films","0.0%","$28.5k","3","3","2005"
"108","108","Menemsha","0.0%","$26.7k","1","1","2005"
"109","109","Pillen's Farm Pictures","0.0%","$25.2k","1","1","2005"
"110","110","Embrem Entertainment","0.0%","$21.5k","1","1","2005"
"111","111","7th Art","0.0%","$20.1k","3","3","2005"
"112","112","Arab Film Dist.","0.0%","$18.8k","4","4","2005"
"113","113","Fabrication Films","0.0%","$16.8k","1","1","2005"
"114","114","Lifesize","0.0%","$15.2k","2","2","2005"
"115","115","Cockeyed Caravan","0.0%","$14.8k","1","1","2005"
"116","116","High Cotton Films","0.0%","$12.0k","1","1","2005"
"117","117","Psychic Girls, LLC","0.0%","$11.1k","1","1","2005"
"118","118","Dada Films","0.0%","$11.0k","1","0","2005"
"119","119","Silver Plane Films","0.0%","$10.6k","1","1","2005"
"120","120","Dinsdale Releasing","0.0%","$10.3k","1","1","2005"
"121","121","Margin","0.0%","$10.2k","1","1","2005"
"122","122","Artmattan Prods.","0.0%","$9.4k","3","1","2005"
"123","123","Filmmates Corp.","0.0%","$9.1k","1","1","2005"
"124","124","Rumur Releasing","0.0%","$8.0k","1","1","2005"
"125","125","Unico Entertainment","0.0%","$6.5k","1","1","2005"
"126","126","Atopia","0.0%","$5.3k","1","0","2005"
"127","127","Big Fat Movies","0.0%","$4.7k","1","1","2005"
"128","128","Minority Films","0.0%","$4.3k","1","1","2005"
"129","129","Romar Entertainment","0.0%","$3.7k","1","1","2005"
"130","130","HB Filmworks","0.0%","$3.3k","1","1","2005"
"131","131","Rogue Arts","0.0%","$2.8k","1","1","2005"
