"No.","Rank","Title","Studio","WorldWide","Domestic","%","Overseas","%","Years"
"514","423","Crocodile Dundee II","Par.","239.6","109.3","45.6","130.3","54.4","1988"
"515","483","Twins","Uni.","216.6","111.9","51.7","104.7","48.3","1988"
"516","276","Fatal Attraction","Par.","320.1","156.6","48.9","163.5","51.1","1987"
"517","310","Beverly Hills Cop II","Par.","300.0","153.7","51.2","146.3","48.8","1987"
"518","497","Dirty Dancing","Vest","214.0","64.0","29.9","150.0","70.1","1987^"
"519","224","Top Gun","Par.","356.8","179.8","50.4","177.0","49.6","1986^"
"520","265","Crocodile Dundee","Par.","328.2","174.8","53.3","153.4","46.7","1986"
"521","192","Back to the Future","Uni.","381.1","210.6","55.3","170.5","44.7","1985"
"522","304","Rocky IV","UA","300.5","127.9","42.6","172.6","57.4","1985"
"523","306","Rambo: First Blood Part II","TriS","300.4","150.4","50.1","150.0","49.9","1985"
"524","257","Indiana Jones and the Temple of Doom","Par.","333.1","179.9","54.0","153.2","46.0","1984"
"525","280","Beverly Hills Cop","Par.","316.4","234.8","74.2","81.6","25.8","1984"
"526","322","Ghostbusters","Col.","291.6","238.6","81.8","53.0","18.2","1984"
"527","129","Return of the Jedi","Fox","475.1","309.3","65.1","165.8","34.9","1983"
"528","42","E.T.: The Extra-Terrestrial","Uni.","792.9","435.1","54.9","357.8","45.1","1982"
"529","186","Raiders of the Lost Ark","Par.","389.9","248.2","63.6","141.8","36.4","1981"
"530","104","The Empire Strikes Back","Fox","538.4","290.5","54.0","247.9","46.0","1980"
"531","514","Moonraker","MGM","210.3","70.3","33.4","140.0","66.6","1979"
"532","182","Grease","Par.","395.0","188.8","47.8","206.2","52.2","1978"
"533","308","Superman","WB","300.2","134.2","44.7","166.0","55.3","1978"
"534","46","Star Wars","Fox","775.4","461.0","59.5","314.4","40.5","1977"
"535","299","Close Encounters of the Third Kind","Col.","303.8","132.1","43.5","171.7","56.5","1977"
"536","428","Saturday Night Fever","Par.","237.1","94.2","39.7","142.9","60.3","1977"
"537","133","Jaws","Uni.","470.7","260.0","55.2","210.7","44.8","1975"
"538","153","The Exorcist","WB","441.3","232.9","52.8","208.4","47.2","1973"
"539","411","The Godfather","Par.","245.1","135.0","55.1","110.1","44.9","1972"
"540","526","The Jungle Book","Dis.","205.8","141.8","68.9","64.0","31.1","1967"
"541","487","101 Dalmatians","Dis.","215.9","144.9","67.1","71.0","32.9","1961"
"542","360","Bambi","RKO","267.4","102.2","38.2","165.2","61.8","1942"
"543","178","Gone with the Wind","MGM","400.2","198.7","49.6","201.5","50.4","1939"
